kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Aceh Barat,Kec. Johan Pahlawan,SLB NEGERI MEULABOH,24,14,0,1,0,0,1,1,2,0,9,15,4,2,10,1,7,6,5,2,6,5,4,8,0,3,5,7,7,3,6,4,4,2,3,3,8,3,0,0,52,24,6,112,65,47,8.0,9,1.0,1,1.0,1,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,6.0,6,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,3.0,3,,,,,,,,,,,,,,,,,,
Kab. Aceh Barat,Kec. Samatiga,SLB Rahmatillah,21,11,2,2,0,0,0,2,5,0,2,7,3,6,2,1,2,2,4,0,2,3,8,5,6,2,2,1,2,0,2,2,2,0,1,1,3,7,0,0,49,9,9,62,36,26,9.0,9,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,,,,,,,,,,,,,,,,,,
Kab. Aceh Barat Daya,Kec. Susoh,SLB NEGERI Aceh Barat Daya,16,13,1,2,2,0,1,2,2,0,5,15,1,3,6,5,6,0,8,7,6,5,8,1,8,4,9,4,3,2,8,3,3,2,4,1,7,5,0,0,81,20,4,115,76,39,9.0,9,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,12.0,12,,,,,,,,,,,,,,,,,,
Kab. Aceh Besar,Kec. Ingin Jaya,SLBN Pembina Provinsi Aceh,48,34,4,1,3,0,0,2,6,0,11,30,3,5,10,4,9,8,4,3,6,2,12,5,5,6,9,7,5,4,3,5,6,5,3,6,2,3,0,0,46,41,8,137,78,59,5.0,6,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,11.0,11,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,14.0,14,,,,,,,,,,,,,,,,,,
Kab. Aceh Besar,Kec. Kota Jantho,SLB NEGERI KOTA JANTHO,30,7,3,2,2,0,1,1,4,2,4,22,4,4,2,0,3,4,1,4,10,1,4,2,0,6,4,6,3,3,3,5,2,2,2,5,2,0,0,0,19,26,8,74,36,38,11.0,11,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,0.0,0,4.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Aceh Jaya,Kec. Krueng Sabee,SLB Negeri Aceh Jaya,30,6,1,1,1,0,0,1,0,2,3,8,0,4,2,1,6,0,9,5,2,3,2,1,1,6,2,2,5,6,2,5,1,1,2,3,4,0,0,0,34,11,4,71,38,33,12.0,12,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,1.0,1,5.0,5,1.0,1,0.0,0,0.0,0,1.0,1,2.0,2,1.0,1,11.0,11,,,,,,,,,,,,,,,,,,
Kab. Aceh Selatan,Kec. Kluet Selatan,SLB Azzahra,17,5,0,0,0,0,0,0,0,0,0,5,2,2,4,1,3,1,3,1,1,0,4,1,1,3,2,1,2,2,1,1,1,0,1,0,0,0,0,0,34,5,4,34,23,11,2.0,4,0.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Aceh Selatan,Kec. Pasie Raja,SLB Negeri Aceh Selatan,10,10,0,0,0,0,0,0,0,0,4,14,3,4,1,0,4,4,3,3,3,2,1,0,2,1,1,3,1,0,0,3,0,0,0,0,0,1,0,0,29,18,7,33,16,17,14.0,14,1.0,0,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,1.0,1,7.0,7,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,13.0,7,,,,,,,,,,,,,,,,,,
Kab. Aceh Singkil,Kec. Singkil,SLB Negeri Al-Fansury,13,5,1,0,1,0,0,0,2,1,5,9,3,3,0,1,2,2,2,0,2,2,5,1,6,3,2,1,0,2,0,0,3,1,0,1,0,1,0,0,15,14,6,37,22,15,10.0,9,1.0,1,1.0,0,0.0,0,1.0,1,2.0,2,0.0,0,2.0,2,4.0,4,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,13.0,12,,,,,,,,,,,,,,,,,,
Kab. Aceh Tamiang,Kec. Rantau,SLB NEGERI PEMBINA ACEH TAMIANG,69,28,2,0,2,0,0,3,15,0,24,25,15,8,19,12,23,9,9,10,9,9,18,19,17,8,11,12,18,13,15,9,14,9,16,14,11,7,0,0,65,49,23,317,184,133,59.0,53,1.0,1,4.0,4,0.0,0,1.0,1,0.0,0,1.0,1,1.0,1,3.0,3,0.0,0,0.0,0,0.0,0,1.0,1,2.0,2,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Aceh Tengah,Kec. Bebesen,SLB YRPC TAKENGON,32,5,1,1,2,0,2,2,2,0,1,15,3,3,0,0,2,0,1,1,1,0,2,1,2,1,3,6,1,2,1,0,3,4,7,4,3,4,0,0,32,16,6,50,26,24,4.0,4,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,2,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,8.0,9,,,,,,,,,,,,,,,,,,
Kab. Aceh Tengah,Kec. Bintang,SLB MUSARA ATE,9,6,1,0,1,0,0,0,1,0,1,3,1,1,0,0,2,0,3,0,1,2,3,1,0,1,0,0,2,0,3,1,3,0,0,0,0,0,0,0,12,4,2,23,18,5,1.0,3,0.0,0,0.0,0,0.0,0,1.0,0,1.0,1,0.0,1,1.0,0,4.0,4,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,3.0,11,,,,,,,,,,,,,,,,,,
Kab. Aceh Tengah,Kec. Celala,SLB QALBUN INSANNI CELALA,13,8,0,0,0,0,0,8,8,0,2,4,3,3,2,0,2,0,1,0,1,2,1,1,2,2,3,1,2,2,4,3,1,0,0,4,0,0,0,0,32,6,6,34,19,15,12.0,6,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,2.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,4,,,,,,,,,,,,,,,,,,
Kab. Aceh Tengah,Kec. Kebayakan,SLB Negeri Kebayakan Takengon,73,51,2,0,2,0,0,5,6,0,6,64,4,6,9,3,11,5,4,2,7,8,8,6,7,4,11,5,3,5,4,5,8,1,0,1,6,1,0,0,88,70,10,130,83,47,11.0,11,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,4.0,4,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,23.0,23,,,,,,,,,,,,,,,,,,
Kab. Aceh Tengah,Kec. Ketol,SLBS QALBUN FITRAH TAKENGON,17,10,1,0,1,0,0,1,2,1,1,9,3,4,1,0,2,1,1,1,1,3,3,1,1,0,2,2,2,1,2,1,1,3,1,1,2,1,0,0,20,10,7,35,20,15,6.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,9,,,,,,,,,,,,,,,,,,
Kab. Aceh Tengah,Kec. Kute Panang,SLB KUTE PANANG,8,8,0,0,0,0,0,8,6,0,2,7,2,1,0,0,0,0,0,0,1,1,2,0,4,2,0,0,2,1,1,4,4,3,0,2,4,0,0,0,27,9,3,31,18,13,6.0,6,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,,,,,,,,,,,,,,,,,,
Kab. Aceh Tengah,Kec. Pegasing,SLB Negeri Pegasing,36,9,5,5,5,0,2,2,4,2,3,16,1,3,5,1,1,0,4,4,5,3,6,3,5,1,4,2,6,3,4,3,5,6,0,0,0,1,0,0,71,19,4,73,46,27,9.0,8,1.0,1,0.0,0,0.0,0,0.0,1,0.0,1,0.0,0,1.0,1,5.0,4,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,6.0,6,,,,,,,,,,,,,,,,,,
Kab. Aceh Tengah,Kec. Silih Nara,SLB Negeri Silih Nara Angkup,24,12,2,2,3,0,1,2,4,0,3,13,1,2,1,4,1,2,2,2,3,0,0,3,2,4,2,4,7,3,3,2,5,2,2,4,0,3,0,0,45,16,3,61,28,33,11.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,10,,,,,,,,,,,,,,,,,,
Kab. Aceh Tenggara,Kec. Lawe Bulan,SD NEGERI LUAR BIASA SIMPANG EMPAT,11,11,0,0,0,0,0,0,1,0,2,11,3,3,8,0,3,4,2,3,2,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,6,30,17,13,15.0,15,1.0,0,1.0,0,0.0,0,1.0,0,1.0,1,0.0,0,0.0,0,2.0,3,1.0,1,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,6.0,1,,,,,,,,,,,,,,,,,,
Kab. Aceh Tenggara,Kec. Semadam,SLB Negeri Semadam,22,11,1,0,0,0,0,1,4,0,5,13,4,4,0,1,5,1,7,2,1,4,3,0,1,1,1,0,3,2,1,1,0,1,0,2,0,0,0,0,41,18,8,37,22,15,7.0,7,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,1.0,1,4.0,4,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
