kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bengkulu Selatan,Kec. Manna,SLBN 01 Bengkulu Selatan,26,26,1,1,1,0,1,1,7,2,10,24,2,6,9,5,8,5,3,4,4,3,9,5,9,6,16,8,9,7,9,0,8,2,4,2,6,4,0,0,32,34,8,145,94,51,27.0,27,1.0,0,0.0,0,0.0,0,1.0,1,2.0,2,1.0,1,1.0,0,8.0,7,2.0,2,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,23.0,18,,,,,,,,,,,,,,,,,,
Kab. Bengkulu Tengah,Kec. Talang Empat,SLBN 1 BENGKULU TENGAH,13,7,1,0,0,0,0,0,0,0,0,8,1,1,4,0,1,3,2,1,4,2,4,0,2,0,2,0,2,0,1,0,0,1,1,0,2,0,0,0,12,8,2,32,25,7,12.0,12,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,6.0,6,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,10.0,10,,,,,,,,,,,,,,,,,,
Kab. Bengkulu Utara,Kec. Arga Makmur,SLBN 1  BENGKULU UTARA,18,18,0,0,2,0,0,2,4,6,6,18,0,4,0,5,6,5,3,4,3,3,8,2,2,5,4,6,4,1,3,5,4,4,2,1,7,3,0,0,30,24,4,90,46,44,23.0,23,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,18.0,18,,,,,,,,,,,,,,,,,,
Kab. Kaur,Kec. Kaur Utara,SLBN 1 KAUR,12,7,0,0,0,0,0,0,0,0,3,4,7,0,0,0,2,0,1,0,1,0,1,0,5,1,1,0,10,2,10,7,1,0,2,3,5,3,0,0,33,7,7,55,39,16,13.0,15,2.0,2,0.0,0,0.0,0,1.0,1,2.0,1,0.0,0,2.0,1,9.0,9,3.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,20.0,15,,,,,,,,,,,,,,,,,,
Kab. Kepahiang,Kec. Kepahiang,SLBN 1 KEPAHIANG,12,12,1,0,1,0,1,0,2,0,4,9,2,3,8,3,3,4,6,2,1,5,7,4,7,3,4,3,1,3,3,0,3,3,0,1,1,1,0,0,20,13,5,76,44,32,9.0,6,1.0,1,1.0,1,0.0,0,1.0,1,1.0,1,0.0,0,1.0,1,3.0,7,0.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,8.0,8,,,,,,,,,,,,,,,,,,
Kab. Lebong,Kec. Lebong Sakti,SLBN  1 LEBONG,35,9,0,1,0,0,0,0,1,2,3,8,1,3,6,2,5,2,3,1,6,2,2,2,5,5,4,3,3,0,0,0,3,2,1,4,1,2,0,0,16,11,4,64,39,25,11.0,11,1.0,0,1.0,1,0.0,0,1.0,1,1.0,1,0.0,0,1.0,0,14.0,14,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,17.0,11,,,,,,,,,,,,,,,,,,
Kab. Mukomuko,Kec. Kota Mukomuko,SLBN  1 MUKOMUKO,17,16,0,1,2,0,0,7,8,0,4,12,1,5,6,5,3,2,1,4,4,2,9,6,1,0,1,1,1,3,0,0,5,1,0,0,2,0,0,0,12,16,6,57,33,24,17.0,17,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,6.0,6,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,13.0,13,,,,,,,,,,,,,,,,,,
Kab. Mukomuko,Kec. V Koto,SLB YPR I,6,6,2,1,3,0,1,1,6,2,1,5,3,2,1,1,0,0,0,0,3,4,0,0,2,0,3,4,3,4,0,0,0,0,2,0,0,0,0,0,38,6,5,27,14,13,,6,,1,,0,,0,,1,,0,,0,,0,,2,,0,,0,,0,,0,,0,,0,,2,,,,,,,,,,,,,,,,,,
Kab. Mukomuko,Kec. XIV Koto,SLB NEGERI 2 MUKOMUKO,6,5,0,1,1,0,1,1,2,0,1,6,3,2,0,0,4,1,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16,7,5,15,9,6,6.0,6,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,1.0,1,4.0,2,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,10.0,8,,,,,,,,,,,,,,,,,,
Kab. Rejang Lebong,Kec. Curup Selatan,SLBN 1 REJANG LEBONG,25,14,0,0,0,0,0,0,2,0,4,10,4,2,15,9,8,7,16,11,3,4,7,5,5,0,1,8,10,3,4,3,3,2,5,4,4,4,0,0,29,14,6,141,81,60,15.0,14,1.0,1,0.0,0,0.0,0,1.0,1,2.0,3,0.0,0,1.0,1,6.0,6,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,17.0,17,,,,,,,,,,,,,,,,,,
