kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bintan,Kec. Bintan Timur,SLB KARYA MANDIRI KIJANG,14,6,0,0,0,0,0,0,0,0,2,5,1,0,1,3,3,4,1,0,1,2,3,0,1,3,0,0,4,1,3,1,0,0,0,0,1,1,0,0,4,7,1,34,19,15,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Bintan,Kec. Bintan Timur,SLB NEGERI KIJANG,5,4,3,3,1,0,3,2,3,0,2,3,1,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,35,5,1,13,5,8,12,3,1,0,0,0,0,0,1,0,2,0,0,0,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,11,4,,,,,,,,,,,,,,,,,,
Kab. Bintan,Kec. Bintan Utara,SKH CITRA NUGRAHA,7,4,0,0,0,0,0,1,0,0,1,4,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,3,0,3,1,2,0,5,1,0,0,17,5,3,20,17,3,3,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,
Kab. Bintan,Kec. Bintan Utara,SLB NEGERI BINTAN,38,17,2,2,1,0,0,0,2,0,2,13,2,3,2,1,3,2,7,5,5,2,4,4,4,1,8,4,5,1,5,5,1,5,3,0,2,0,0,0,53,15,5,81,50,31,13,13,1,1,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,0,0,0,0,0,2,2,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kab. Karimun,Kec. Karimun,SLB NEGERI KARIMUN,29,21,1,0,1,0,0,10,2,2,5,20,5,3,3,12,5,2,6,2,12,8,9,3,7,6,9,4,4,6,5,7,5,2,12,5,2,4,0,0,42,25,8,143,79,64,18,18,1,1,1,1,0,0,1,1,1,1,0,0,1,1,10,7,2,2,0,0,0,0,1,1,2,2,0,0,17,14,,,,,,,,,,,,,,,,,,
Kab. Karimun,Kec. Karimun,SLB SEHATI KARIMUN,13,9,0,0,0,0,0,0,0,0,0,9,3,1,2,0,1,0,1,0,1,0,1,0,2,1,7,0,2,1,3,1,2,1,4,1,0,1,0,0,2,9,4,32,26,6,8,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Karimun,Kec. Karimun,SLB YPBB KARIMUN,18,18,0,0,0,0,0,0,0,2,1,19,6,3,6,5,13,6,5,5,3,4,3,2,10,4,3,2,5,8,1,6,2,7,4,7,5,1,0,0,32,20,9,123,65,58,8,8,1,1,0,0,0,0,1,1,1,1,1,1,1,1,3,3,1,1,0,0,0,0,1,1,1,1,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Karimun,Kec. Kundur,SLB NEGERI KUNDUR,20,4,3,3,1,0,4,0,1,0,2,8,3,3,2,2,6,4,2,1,4,2,4,1,2,0,3,2,0,2,4,0,2,7,6,0,2,1,0,0,52,10,6,59,37,22,4,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Kepulauan Anambas,Kec. Siantan Selatan,SLB NEGERI ANAMBAS,6,1,0,1,1,0,0,1,0,1,1,3,4,4,3,2,0,1,0,0,2,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,34,4,8,14,9,5,6,6,1,1,0,0,0,0,1,1,1,1,1,1,1,1,9,9,2,2,0,0,0,0,1,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,
Kab. Lingga,Kec. Singkep,SLB NEGERI LINGGA,24,11,1,0,2,0,0,3,4,1,3,11,3,3,2,1,5,1,2,2,4,1,5,3,4,1,3,1,1,2,0,0,4,0,0,0,1,0,0,0,54,14,6,43,31,12,6,6,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,3,1,1,0,0,0,0,1,1,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
Kab. Natuna,Kec. Bunguran Timur,SLB NEGERI NATUNA,38,8,0,0,0,0,0,0,0,0,1,8,4,6,9,2,5,4,3,4,3,1,7,4,3,0,0,3,0,2,1,1,3,2,1,0,1,1,0,0,49,9,10,60,36,24,13,13,1,0,0,0,0,0,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,1,1,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
Kota Batam,Kec. Batam Kota,Sekolah Khusus Smart Aurica,2,2,0,0,0,0,0,0,0,0,0,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,1,10,8,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Batam,Kec. Batam Kota,SLB NEGERI BATAM,36,20,0,1,1,0,0,1,0,2,4,17,1,2,10,4,12,10,10,4,15,7,34,15,16,15,22,16,21,9,10,7,6,4,12,11,10,6,0,0,64,21,3,286,178,108,21,21,1,1,0,0,0,0,1,1,0,0,0,0,1,1,22,22,0,0,1,1,0,0,0,0,1,1,0,0,4,4,,,,,,,,,,,,,,,,,,
Kota Batam,Kec. Batam Kota,SLB PUTRAKAMI,14,12,0,0,0,0,0,0,0,0,0,12,0,2,6,4,10,3,6,5,6,4,2,4,3,1,7,3,4,3,1,3,3,2,7,1,3,3,0,0,12,12,2,106,68,38,14,14,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,4,0,0,1,1,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Batam,Kec. Batam Kota,SLB STIPAK,4,0,1,0,1,0,1,0,0,0,1,2,0,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,3,2,8,3,5,11,11,2,2,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,2,2,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
