kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bantaeng,Kec. Bantaeng,SLBN 1 BANTAENG,26,12,0,2,0,0,0,12,4,0,3,14,3,3,5,1,4,1,6,1,3,3,3,1,4,0,1,1,3,3,5,1,2,0,2,1,2,0,0,0,45,17,6,53,40,13,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Bantaeng,Kec. Bissappu,SLBS PK PLK SHOFIYYAH,11,4,2,2,3,0,2,5,8,3,0,3,0,1,1,0,1,0,1,1,2,0,2,1,5,0,0,3,3,1,0,1,1,0,0,0,1,1,0,0,13,3,1,25,17,8,3,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,,,,,,,,,,,,,,,,,,
Kab. Barru,Kec. Barru,SLBN 1 BARRU,25,21,0,0,1,0,0,0,2,0,3,21,2,5,5,1,6,4,4,1,5,0,4,1,8,3,2,1,2,1,1,0,5,2,1,1,2,1,0,0,21,24,7,61,45,16,13,12,1,1,0,0,0,0,0,2,0,0,0,0,1,1,6,4,0,0,0,0,0,0,0,1,0,0,0,0,11,9,,,,,,,,,,,,,,,,,,
Kab. Bone,Kec. Lamuru,SLB MUHAMMADIYAH LAMURU,12,4,0,0,0,0,0,0,2,0,0,4,1,0,4,0,1,1,1,0,1,1,2,1,3,0,1,0,1,1,1,0,0,2,3,2,1,2,0,0,17,4,1,29,19,10,4,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,
Kab. Bone,Kec. Mare,SLB YPAB MARE,9,3,4,4,4,0,5,7,8,3,3,3,1,2,0,0,0,0,0,1,0,0,2,1,0,1,2,1,3,3,1,1,1,1,4,2,2,1,0,0,19,6,3,27,15,12,3,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Bone,Kec. Tanete Riattang,SLB AMANAH,12,7,0,0,0,0,0,0,1,0,1,6,2,2,2,0,5,0,2,0,2,1,2,0,1,1,0,4,4,2,0,1,2,1,2,0,1,1,0,0,25,7,4,34,23,11,12,12,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Bone,Kec. Tanete Riattang,SLB BINA BAKTI,10,7,0,0,0,0,0,0,0,0,1,6,1,1,3,1,1,1,1,1,1,1,3,0,4,0,3,1,3,0,1,2,0,0,0,0,1,0,0,0,14,7,2,28,21,7,3,12,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Bone,Kec. Tanete Riattang,SLB NURUL YAQIN,7,1,1,1,0,0,2,1,2,1,1,3,1,4,1,0,0,0,4,2,3,2,1,1,0,0,3,1,0,0,1,1,1,1,0,0,0,0,0,0,21,4,5,22,14,8,8,8,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,,,,,,,,,,,,,,,,,,
Kab. Bone,Kec. Tanete Riattang Barat,SLB AL QASMI WATAMPONE,12,12,0,0,0,0,0,0,0,0,3,9,3,0,2,1,2,1,4,0,4,0,1,2,2,1,2,3,3,0,4,2,0,0,1,1,3,0,0,0,54,12,3,39,28,11,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,
Kab. Bone,Kec. Tanete Riattang Timur,SLBN 1 BONE,16,9,4,4,1,0,4,0,6,1,1,14,3,3,5,2,6,5,4,2,3,2,4,3,3,2,2,5,2,3,2,2,1,2,2,0,1,1,0,0,70,15,6,64,35,29,12,9,1,1,0,0,0,0,1,0,1,1,0,0,0,0,3,4,0,2,0,0,0,0,0,1,0,0,0,0,12,4,,,,,,,,,,,,,,,,,,
