kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bombana,Kec. Rumbia Tengah,SLBN 1 BOMBANA,15,6,4,4,0,0,4,3,10,4,0,6,0,1,2,0,1,1,4,0,0,0,4,0,1,2,4,7,0,2,0,0,0,0,0,0,0,0,0,0,15,6,1,28,16,12,6,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,10,10,1,1,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Buton,Kec. Pasar Wajo,SLBS AMALIA BUTON RAYA,7,6,0,0,0,0,0,0,0,0,4,5,1,1,4,0,2,0,1,1,4,1,1,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,2,28,17,11,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,,,,,,,,,,,,,,,,,,
Kab. Buton Selatan,Kec. Siompu,SLBS AL KAHFI BUTON SELATAN,3,2,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,2,6,5,1,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Buton Tengah,Kec. Gu,SLBS PERINTIS LAKAPERA,9,3,2,1,1,0,1,1,2,0,0,2,2,0,3,0,1,1,0,0,1,1,2,0,5,2,0,0,4,1,0,1,0,0,0,2,3,0,0,0,14,2,2,27,19,8,12,12,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Buton Tengah,Kec. Mawasangka,SLBS NURUL FALAH,2,1,1,1,1,0,1,1,1,0,3,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,4,2,5,2,3,6,6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Buton Utara,Kec. Bonegunu,SLBS LANGKOLU,5,4,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,5,1,0,0,0,0,0,0,0,0,21,2,2,13,9,4,2,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,,,,,,,,,,,,,,,,,,
Kab. Buton Utara,Kec. Kulisusu,SLBN 1 BUTON UTARA,18,5,5,6,6,0,6,10,14,0,2,8,0,3,1,0,0,0,3,1,3,1,2,0,0,0,1,1,5,2,3,3,4,0,6,2,0,0,0,0,19,10,3,38,28,10,7,7,1,1,0,0,0,0,1,1,1,1,1,1,1,1,9,9,1,1,0,0,0,0,1,1,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Kolaka,Kec. Baula,SLBN 3 KOLAKA,7,4,1,1,1,0,1,1,1,1,1,6,1,0,2,0,1,0,1,0,0,1,1,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,21,7,1,13,9,4,11,10,1,1,0,0,0,0,1,1,1,1,0,0,1,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kolaka,Kec. Kolaka,SLBS TUNAS HARAPAN MEKONGGA,10,10,0,0,1,0,0,1,1,0,0,9,2,1,2,0,2,0,2,3,0,0,3,2,2,2,1,4,1,0,2,1,3,1,2,2,0,0,0,0,12,9,3,35,20,15,9,9,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,0,1,1,1,1,0,0,12,12,,,,,,,,,,,,,,,,,,
Kab. Kolaka,Kec. Latambaga,SLBS CEMERLANG,12,12,0,0,0,0,0,0,3,0,0,12,0,1,2,0,0,2,0,3,3,2,3,2,1,5,3,4,4,3,3,1,1,3,0,1,4,2,0,0,18,12,1,52,24,28,18,18,1,1,0,0,0,0,1,1,1,1,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
