kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bangka,Kec. Belinyu,SLB YPN,25,7,0,0,2,0,0,0,2,0,0,7,2,2,2,3,6,3,13,3,2,0,8,5,6,3,1,3,4,1,4,4,2,3,6,6,1,0,0,0,7,7,4,89,55,34,11,10,1,1,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,8,1,,,,,,,,,,,,,,,,,,
Kab. Bangka,Kec. Sungailiat,SLB N SUNGAILIAT,61,18,1,2,1,0,2,12,12,4,7,14,4,4,11,7,15,11,7,10,10,6,18,9,13,4,11,5,8,9,12,4,10,5,10,3,6,1,0,0,21,21,8,205,131,74,29,17,1,1,0,0,0,0,1,1,1,1,0,0,1,1,10,10,1,1,0,0,0,0,1,1,1,0,0,0,18,13,,,,,,,,,,,,,,,,,,
Kab. Bangka Barat,Kec. Muntok,SLBN MUNTOK,35,10,1,2,1,0,1,2,2,4,3,9,5,5,4,2,4,4,3,2,6,5,3,3,9,5,8,6,4,0,4,0,4,4,1,3,3,4,0,0,9,12,10,91,53,38,13,13,1,1,0,0,0,0,1,1,0,0,1,1,1,1,8,8,0,0,1,1,0,0,1,1,0,0,0,0,17,17,,,,,,,,,,,,,,,,,,
Kab. Bangka Selatan,Toboali,SLB Negeri TOBOALI,34,14,0,1,0,0,1,1,2,0,4,12,8,2,5,4,4,5,4,3,4,1,5,5,3,6,5,4,5,3,6,6,10,0,2,1,1,6,0,0,14,16,10,98,54,44,13,13,1,1,1,1,0,0,1,1,1,1,0,0,1,1,8,8,1,1,0,0,0,0,3,3,1,1,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Bangka Tengah,Kec. Koba,SLB N KOBA,60,12,0,0,0,0,0,1,4,0,3,12,4,5,5,2,9,4,6,3,3,3,13,5,3,1,14,7,11,2,2,0,5,3,0,4,1,4,0,0,24,15,9,110,72,38,15,15,1,1,1,1,0,0,1,1,0,0,1,1,1,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,17,17,,,,,,,,,,,,,,,,,,
Kab. Bangka Tengah,Kec. Pangkalan Baru,SLB PERSONA,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
Kab. Belitung,Kec. Tanjung Pandan,SLB N TANJUNGPANDAN,46,20,0,0,0,0,0,1,2,0,2,19,3,4,8,4,9,6,11,4,10,4,6,7,10,4,8,1,11,3,9,4,6,2,5,0,8,0,0,0,32,21,7,140,101,39,22,22,1,1,0,0,0,0,1,1,1,1,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Belitung Timur,Kec. Damar,SLBN Manggar,28,17,0,0,0,0,0,1,1,0,5,14,8,5,10,5,2,4,7,6,7,5,7,4,5,4,8,6,7,4,5,5,4,3,5,2,3,1,0,0,10,19,13,122,71,51,16,13,1,1,0,0,0,0,1,1,2,1,1,1,1,1,7,7,2,2,0,0,0,0,0,1,0,0,0,0,19,16,,,,,,,,,,,,,,,,,,
Kota Pangkal Pinang,Kec. Gerunggang,SLB YPAC PANGKAL PINANG,12,12,0,0,0,0,0,1,1,0,2,14,0,2,8,6,11,1,5,8,5,4,11,5,15,6,4,5,8,6,9,1,6,4,1,0,1,1,0,0,47,16,2,131,84,47,19,17,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Pangkal Pinang,Kec. Girimaya,SLB N 31 PKLK NEGERI PANGKALPINANG,70,28,1,0,1,0,0,3,4,0,10,27,7,9,22,11,32,9,11,10,11,4,27,15,27,7,16,9,15,18,17,6,10,11,8,7,20,10,0,0,30,37,16,333,216,117,31,25,1,1,1,1,0,0,1,0,1,1,0,0,1,0,9,9,0,1,0,0,0,0,1,1,0,0,0,0,35,28,,,,,,,,,,,,,,,,,,
