kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bima,Kec. Ambalawi,SLB BUKIT BINTANG,8,2,1,1,1,0,1,1,1,1,3,4,3,0,0,0,0,0,0,1,3,3,2,1,4,1,4,5,0,1,0,0,0,1,1,2,0,0,0,0,3,7,3,29,14,15,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Belo,SLB NEGERI 1 BIMA,40,40,0,0,1,0,0,3,9,2,17,33,8,9,4,1,5,2,1,0,3,1,3,1,1,3,10,10,4,3,5,4,10,5,0,2,3,5,0,0,15,50,17,86,49,37,16.0,18,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,1.0,1,11.0,11,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,12.0,13,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Bolo,SLB BAITURRAHMAN,32,1,0,2,1,0,1,1,11,0,2,10,3,2,12,9,9,8,3,0,0,3,2,4,7,2,7,1,3,0,6,7,9,6,3,0,4,3,0,0,8,12,5,108,65,43,4.0,2,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,4,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Donggo,SLB WIHDATUL UMMAH DONGGO,11,10,0,0,2,0,0,4,5,1,6,1,2,0,0,0,1,0,1,1,0,1,0,1,1,1,0,4,3,2,1,3,1,0,4,2,1,0,0,0,15,7,2,28,13,15,6.0,6,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Lambu,SLB AL HIKMAH,12,6,1,1,0,0,1,1,1,0,1,7,1,1,0,1,1,0,1,0,0,1,3,0,6,0,3,1,3,1,3,3,2,3,0,4,3,4,0,0,4,8,2,43,25,18,5.0,5,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Langgudu,SLB AL IHSAN,12,0,0,0,0,0,0,0,3,0,2,6,1,1,1,1,2,1,1,5,2,4,5,2,4,1,1,3,5,2,1,7,6,3,5,3,3,2,0,0,69,8,2,70,36,34,2.0,2,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Langgudu,SLB NURUL ILMI,11,5,1,1,1,0,1,2,1,1,5,8,0,1,0,0,0,1,1,0,5,5,1,7,7,1,3,3,5,1,5,1,6,2,4,2,6,2,0,0,34,13,1,68,43,25,,12,,0,,0,,0,,0,,1,,0,,0,,2,,0,,0,,0,,1,,0,,0,,2,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Mada pangga,SLB AL-KAUSAR,7,0,4,2,0,0,3,3,1,1,1,1,0,2,1,2,0,0,0,0,5,3,1,3,1,2,0,0,9,7,0,0,0,0,5,2,3,1,0,0,6,2,2,45,25,20,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Mada pangga,SLB ISLAM KASMAN,10,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,3,0,0,4,9,10,1,1,0,0,0,0,0,0,0,0,1,2,4,4,0,0,19,0,1,42,20,22,4.0,4,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Palibelo,SLB AL-MUKMIN,7,2,1,1,1,0,1,1,2,0,1,5,2,1,3,3,0,0,2,0,2,0,0,0,7,2,3,5,5,2,0,0,0,0,4,0,0,0,0,0,18,6,3,38,26,12,9.0,8,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Sape,SLB AISYAH SAPE,10,10,1,0,0,0,2,1,1,2,3,10,2,0,1,0,4,2,4,1,1,0,7,5,3,0,3,1,5,6,1,0,0,0,1,1,0,0,0,0,9,13,2,46,30,16,4.0,4,1.0,0,0.0,0,1.0,1,1.0,1,1.0,0,1.0,1,1.0,0,4.0,2,0.0,0,2.0,2,0.0,0,1.0,1,0.0,0,0.0,0,10.0,3,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Soromandi,SLB Mutmainnah Soromandi,12,13,0,1,1,0,0,1,1,0,7,10,3,0,15,6,1,3,5,1,1,2,1,2,3,0,2,3,2,1,3,3,3,1,0,2,2,0,0,0,13,17,3,62,38,24,13.0,12,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,7,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Wera,SLB Al-Hijrah Oi Tui Wera,12,11,0,0,0,0,0,2,0,1,5,6,2,1,3,0,2,0,2,1,1,3,1,2,7,1,0,4,2,1,2,1,7,5,4,4,10,4,0,0,18,11,3,67,41,26,5.0,5,1.0,1,0.0,0,0.0,0,1.0,1,2.0,2,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Bima,Kec. Woha,SLB AL MUSLIMUN WOHA,10,10,3,2,0,0,0,2,2,0,3,4,2,0,4,2,2,3,3,2,3,3,6,5,3,0,3,2,0,2,3,1,6,3,0,0,0,0,0,0,6,7,2,56,33,23,8.0,5,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,3.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Dompu,Kec. Dompu,SLB ADDAWAH MBAWI,15,7,4,3,1,0,1,1,1,4,2,8,1,0,3,1,1,4,2,2,5,5,7,5,3,2,6,4,4,2,1,1,7,5,3,0,1,0,0,0,40,10,1,74,43,31,5.0,5,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Dompu,Kec. Hu`u,SLB ABCD HUU,12,12,0,0,0,0,0,0,6,0,1,8,4,1,7,3,6,1,5,3,2,1,5,4,8,0,6,2,2,1,8,3,3,2,2,1,0,2,0,0,3,9,5,77,54,23,12.0,12,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,7.0,7,,,,,,,,,,,,,,,,,,
Kab. Dompu,Kec. Kempo,SLB AZAHRA,12,6,1,1,1,0,1,1,2,0,3,8,1,0,2,1,1,2,2,2,3,3,2,4,11,5,1,1,4,4,3,3,2,0,2,0,3,0,0,0,1,11,1,61,36,25,5.0,5,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,4,,,,,,,,,,,,,,,,,,
Kab. Dompu,Kec. Manggelewa,SLB AL-KHILAF,6,6,0,0,0,0,0,0,2,0,1,4,1,0,1,3,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,16,7,9,1.0,2,1.0,1,0.0,0,0.0,0,0.0,0,2.0,2,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,2,,,,,,,,,,,,,,,,,,
Kab. Dompu,Kec. Manggelewa,SLBN 2 Dompu,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,5,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,46,33,13,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Dompu,Kec. Pajo,SLB AR-RIZKY PAJO,17,1,1,1,0,0,1,0,4,0,5,9,1,2,0,0,1,1,1,0,2,0,5,0,4,1,1,0,7,2,10,4,6,5,4,1,3,3,0,0,9,14,3,61,44,17,8.0,8,1.0,1,1.0,1,0.0,0,1.0,1,1.0,1,0.0,0,0.0,0,2.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Dompu,Kec. Pekat,SLB AR-RIDHO PEKAT,8,5,5,2,1,0,2,1,1,0,2,2,0,1,0,0,0,0,0,2,10,5,4,2,5,4,4,0,5,3,5,0,5,2,0,0,0,0,0,0,15,4,1,56,38,18,5.0,5,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Dompu,Kec. Woja,SLB NEGERI DOMPU,32,25,1,0,2,0,0,3,8,0,15,19,4,3,7,4,6,3,5,1,8,2,10,5,7,8,4,2,2,3,11,6,4,2,8,4,4,1,0,0,41,34,7,117,76,41,17.0,17,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,0.0,0,5.0,5,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,18.0,18,,,,,,,,,,,,,,,,,,
Kab. Dompu,Kec. Woja,SLB TRISILA SKILL,6,1,0,0,0,0,0,1,1,0,0,3,1,2,2,1,3,3,3,3,4,4,6,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,42,23,19,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
