kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Banggai,Kec. Bualemo,SLB Sang Surya Bersinar,7,2,0,1,0,0,1,1,0,1,3,2,0,1,3,5,3,5,1,0,0,1,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,26,5,1,25,11,14,2,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banggai,Kec. Luwuk Timur,SLB Mian Nu Lipuknyo,8,5,4,0,1,0,2,1,2,1,2,2,1,2,1,2,2,0,1,0,0,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,16,4,3,15,9,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Banggai,Kec. Luwuk Utara,SLB N LUWUK,15,7,0,1,0,0,0,1,3,0,3,13,3,3,6,0,3,1,4,2,3,1,9,5,1,3,6,3,5,3,2,1,5,3,3,4,2,4,0,0,10,16,6,79,49,30,17,15,1,1,0,0,0,0,1,1,1,1,1,0,0,0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,13,12,,,,,,,,,,,,,,,,,,
Kab. Banggai,Kec. Simpang Raya,SLB PADAMU NEGERI,12,7,0,0,0,0,0,1,4,0,2,4,0,2,1,0,1,0,0,1,3,2,3,0,2,1,5,0,5,1,5,2,2,5,2,1,3,1,0,0,35,6,2,46,32,14,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kab. Banggai,Kec. Toili,SLB NEGERI TOILI,18,8,0,0,0,0,0,0,1,0,2,13,1,4,0,0,3,3,2,2,0,5,5,5,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,15,5,33,13,20,21,20,0,0,0,0,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Banggai Kepulauan,Kec. Tinangkung,SLB NEGERI SALAKAN,12,5,0,0,0,0,0,0,1,0,1,5,2,3,1,1,1,0,1,0,0,1,2,0,3,2,4,1,3,1,7,4,8,8,3,1,0,3,0,0,19,6,5,55,33,22,11,11,1,1,0,0,0,0,0,0,1,1,0,0,0,0,8,7,0,0,0,0,0,0,0,1,0,0,0,0,10,11,,,,,,,,,,,,,,,,,,
Kab. Banggai Laut,KEC. BANGGAI TENGAH,SLB NEGERI ADEAN,10,5,2,1,1,0,1,0,2,0,0,7,3,2,1,0,0,0,2,1,1,0,1,1,2,1,1,0,3,2,2,1,3,3,0,0,3,2,0,0,16,7,5,30,19,11,6,6,2,2,0,0,0,0,1,1,1,1,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Buol,Kec. Biau,SLB NEGERI BUOL,12,3,0,1,1,0,0,0,3,1,1,9,0,8,2,1,2,0,3,0,6,1,2,2,6,4,3,0,4,0,3,3,1,0,2,0,2,0,0,0,6,10,8,47,36,11,18,12,2,2,1,1,0,0,1,1,1,1,0,0,0,0,15,15,1,1,0,0,0,0,3,3,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Buol,Kec. Paleleh,SLB NEGERI PALELEH,4,0,1,0,0,0,0,0,0,1,0,3,2,3,0,0,1,0,0,0,5,1,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,5,19,16,3,9,9,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Donggala,Kec. Sindue,SLB NEGERI DALAKA,20,16,0,1,0,0,0,2,3,1,8,9,3,3,1,0,1,4,2,2,2,0,1,1,3,1,2,1,3,3,4,1,1,1,3,5,2,2,0,0,25,17,6,46,25,21,12,12,1,1,1,1,0,0,2,2,1,1,0,0,1,1,9,9,0,0,0,0,0,0,1,1,0,0,0,0,12,12,,,,,,,,,,,,,,,,,,
Kab. Morowali,Kec. Bungku Tengah,SLB NEGERI KTM MOROWALI,20,7,2,3,2,0,2,2,1,1,2,5,1,3,7,1,0,3,3,2,6,4,5,3,7,5,15,8,10,10,7,0,2,0,2,0,0,2,0,0,28,7,4,102,64,38,8,8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,5,2,2,0,0,0,0,1,1,0,0,0,0,10,2,,,,,,,,,,,,,,,,,,
Kab. Morowali Utara,Kec. Petasia,SLB NEGERI MOLINO,7,6,0,0,0,0,0,1,0,0,2,6,3,2,0,0,0,0,0,0,0,0,2,1,4,0,1,0,0,0,2,1,4,3,5,4,3,1,0,0,33,8,5,31,21,10,23,23,2,2,1,1,0,0,1,1,1,1,0,0,2,2,5,5,0,0,1,1,0,0,1,1,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Parigi Moutong,Kec. Parigi,SLBN PARIGI,12,10,0,0,0,0,0,0,1,0,1,9,4,3,3,0,7,1,5,3,3,1,7,3,5,3,6,9,5,1,5,1,4,1,1,2,3,2,0,0,37,10,7,81,54,27,9,9,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,5,1,,,,,,,,,,,,,,,,,,
Kab. Parigi Moutong,Kec. Tinombo Selatan,SLB Hidayah Siaga,10,6,0,0,0,0,0,0,0,0,1,5,4,2,5,1,3,8,4,0,2,1,4,1,3,4,0,1,10,4,0,0,0,1,4,2,0,0,0,0,7,6,6,58,35,23,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Poso,Kec. Pamona Puselemba,SLB C HOSANA TENTENA,10,5,0,1,2,0,0,0,2,0,0,6,1,0,2,0,4,2,0,0,0,1,0,0,3,3,1,0,2,0,1,0,0,1,3,0,2,0,0,0,6,6,1,25,18,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,,,,,,,,,,,,,,,,,,
Kab. Poso,Kec. Poso Kota Selatan,SLB NEGERI POSO,12,12,0,0,3,0,0,1,5,0,3,10,3,2,4,0,4,2,1,2,3,0,2,1,3,2,5,3,1,2,2,0,1,1,1,2,1,0,0,0,25,13,5,43,28,15,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,8,6,,,,,,,,,,,,,,,,,,
Kab. Poso,Kec. Poso Pesisir,SLB RAUDHATUL BAHARA,10,4,3,3,3,0,3,6,6,0,3,6,1,0,3,1,3,1,0,0,2,0,0,1,2,0,0,4,1,3,4,0,0,1,2,3,0,0,0,0,17,9,1,31,17,14,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Sigi,Kec. Kinovaro,SLB NEGERI PORAME,27,24,0,0,0,0,0,1,2,0,5,19,5,2,4,1,5,2,6,2,6,2,3,4,1,5,2,2,10,4,8,3,10,4,7,8,12,6,0,0,22,24,7,117,74,43,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Sigi,Kec. Sigibiromaru,SLB Biromaru,6,3,2,2,2,0,2,2,2,0,3,7,1,0,7,5,0,0,6,0,0,0,3,1,3,1,4,2,0,0,0,0,1,2,0,0,0,0,0,0,6,10,1,35,24,11,7,7,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
