kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Badung,Kec. Kuta Selatan,SLB D YPAC CABANG BALI-TKSDSMP,10,4,1,2,0,0,1,1,4,2,3,8,1,1,1,3,1,0,3,1,0,0,0,1,0,0,2,2,4,3,0,1,3,3,2,0,3,1,0,0,14,11,2,34,19,15,11,11,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3,3,1,1,1,1,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Badung,Kec. Kuta Selatan,SLB Negeri 1 Badung,48,24,1,0,1,0,0,0,4,0,11,22,11,9,11,4,6,3,12,7,7,9,7,3,13,5,16,9,16,4,19,11,16,12,17,10,14,10,0,0,23,33,20,243,155,88,52,52,1,1,0,0,0,0,1,1,4,4,1,1,1,1,8,8,4,4,1,1,1,1,1,1,2,2,1,1,35,35,,,,,,,,,,,,,,,,,,
Kab. Bangli,Kec. Bangli,SLB NEGERI 1 BANGLI,51,20,1,1,1,0,0,2,6,3,14,24,11,11,7,5,14,3,5,6,7,5,1,6,9,5,14,9,11,6,11,5,11,3,3,5,3,2,0,0,55,38,22,156,96,60,24,24,1,1,1,1,0,0,1,1,0,0,0,0,0,0,12,12,0,0,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Buleleng,Kec. Buleleng,SLB NEGERI 1 BULELENG,31,25,27,27,2,0,27,2,11,27,13,21,2,4,11,2,7,6,7,3,8,4,7,2,4,7,10,12,8,4,10,5,5,5,4,1,8,3,0,0,38,34,6,143,89,54,26,26,1,1,1,1,0,0,1,1,1,1,0,0,1,1,25,25,1,1,0,0,0,0,1,1,0,0,1,1,15,14,,,,,,,,,,,,,,,,,,
Kab. Buleleng,Kec. Buleleng,SLB NEGERI 2 BULELENG,35,12,1,0,2,0,1,2,7,0,13,20,4,8,4,8,13,6,15,5,4,5,7,2,11,9,11,7,13,3,15,3,8,1,6,2,7,2,0,0,31,33,12,167,114,53,17,17,0,0,0,0,0,0,1,1,1,1,1,1,1,1,10,10,1,1,0,0,0,0,1,1,1,1,1,1,10,10,,,,,,,,,,,,,,,,,,
Kab. Gianyar,Kec. Gianyar,SLB NEGERI 1 GIANYAR,67,18,1,1,2,0,0,3,6,2,14,26,10,5,11,8,5,8,9,7,18,8,11,9,19,11,19,9,6,14,13,5,12,6,12,8,10,7,0,0,20,40,15,245,145,100,28,28,1,1,0,0,0,0,1,1,1,1,0,0,1,1,12,12,0,0,0,0,0,0,1,1,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Jembrana,Kec. Negara,SLB NEGERI 1 JEMBRANA,40,15,1,0,0,0,1,1,4,0,12,13,6,7,8,5,14,4,12,8,13,8,7,1,14,5,17,10,10,6,9,3,7,6,8,4,8,5,0,0,24,25,13,192,127,65,16,16,1,1,1,1,0,0,1,1,3,3,1,1,1,1,9,9,0,0,0,0,0,0,2,2,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Karangasem,Kec. Karangasem,SLB NEGERI 1 KARANGASEM,51,17,2,1,0,0,0,2,4,3,19,16,6,9,10,3,9,3,12,14,4,5,10,7,11,8,16,8,10,6,12,3,5,5,5,6,8,3,0,0,45,35,15,183,112,71,25,25,2,2,1,1,0,0,1,1,1,1,1,1,1,1,13,13,1,1,0,0,0,0,1,1,0,0,0,0,13,13,,,,,,,,,,,,,,,,,,
Kab. Klungkung,Kec. Klungkung,SLB NEGERI 1 KLUNGKUNG,44,16,2,0,0,0,1,3,4,1,12,17,4,6,17,8,5,6,15,3,7,1,2,2,10,6,15,7,9,6,6,4,10,3,3,3,7,4,0,0,48,29,10,159,106,53,6,6,1,1,1,1,0,0,1,1,1,1,1,1,0,0,10,10,0,0,0,0,0,0,1,1,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Tabanan,Kec. Kerambitan,SLB C KEMALA BHAYANGKARI,12,5,0,1,0,0,0,1,3,0,4,4,1,1,4,2,6,1,4,5,5,4,3,0,3,1,5,4,11,1,10,5,7,3,8,4,6,3,0,0,22,8,2,105,72,33,12,12,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,2,2,0,0,1,1,1,1,1,1,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Tabanan,Kec. Tabanan,SLB NEGERI 1 TABANAN,47,18,0,2,2,0,3,0,6,6,10,27,9,6,7,3,12,10,17,4,9,3,7,4,8,9,11,17,11,11,7,8,7,5,15,7,9,5,0,0,27,37,15,206,120,86,32,32,1,1,1,1,1,1,1,1,2,2,0,0,1,1,5,5,0,0,0,0,0,0,1,1,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kota Denpasar,Kec. Denpasar Barat,SLB NEGERI 1 DENPASAR,30,30,1,1,1,0,0,1,16,1,13,20,4,5,8,7,9,5,14,10,13,8,8,2,14,4,18,10,13,11,15,8,9,10,11,2,10,11,0,0,50,33,9,230,142,88,29,29,1,1,2,2,2,2,1,1,1,1,1,1,2,2,10,10,3,3,0,0,0,0,2,2,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Denpasar,Kec. Denpasar Barat,SLB SUSHRUSA,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,11,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,
Kota Denpasar,Kec. Denpasar Selatan,SLB NEGERI 2 DENPASAR,43,15,0,0,1,0,1,3,4,1,11,23,5,5,19,11,13,4,10,12,11,8,9,8,15,18,22,19,14,7,4,6,10,2,8,9,6,10,0,0,34,34,10,255,141,114,18,18,1,1,1,1,0,0,1,1,1,1,0,0,1,1,10,10,0,0,0,0,0,0,2,2,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kota Denpasar,Kec. Denpasar Utara,SLB NEGERI 3 DENPASAR,67,18,1,1,1,0,4,1,3,2,10,25,3,9,22,5,19,5,10,7,15,11,13,7,18,14,8,9,14,8,7,9,13,7,20,7,11,5,0,0,61,35,12,264,170,94,27,19,1,1,0,0,0,0,1,1,1,1,0,0,1,1,8,8,3,3,0,0,0,0,1,1,1,1,0,0,2,2,,,,,,,,,,,,,,,,,,
