kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Banjarnegara,Kec. Madukara,SLB NEGERI BANJARNEGARA,42,30,0,0,0,0,0,1,1,1,7,29,5,7,28,12,27,6,24,8,9,10,17,5,37,7,26,13,9,13,24,13,8,12,6,7,8,2,0,0,37,36,12,331,223,108,12,11,1,1,1,1,0,0,1,1,0,0,1,1,0,0,12,12,0,0,0,0,0,0,1,1,0,0,0,0,13,13,,,,,,,,,,,,,,,,,,
Kab. Banjarnegara,Kec. Mandiraja,SLB NEGERI MANDIRAJA,25,19,0,0,0,0,0,1,2,0,4,15,4,3,10,8,9,10,14,12,14,8,6,6,12,10,16,15,9,7,12,14,8,9,13,4,7,10,0,0,21,19,7,243,130,113,12,7,1,1,1,1,0,0,2,1,1,1,1,1,0,0,7,7,1,1,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Banjarnegara,Kec. Mandiraja,SMPLB YPAB BARAMAS MANDIRAJA,6,6,0,0,1,0,0,0,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,2,1,0,0,0,0,0,0,0,0,16,8,2,11,8,3,10,10,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyumas,Kec. Ajibarang,SLB AISYIYAH AL-WALIDAH,18,9,0,0,0,0,0,0,0,0,2,8,1,2,5,5,4,4,8,3,6,5,5,10,17,5,13,10,13,13,7,3,5,4,2,3,6,1,0,0,8,10,3,157,91,66,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyumas,Kec. Banyumas,SLB ABCD KUNCUP MAS BANYUMAS,29,18,0,0,0,0,0,1,0,0,5,14,3,0,10,3,9,4,6,0,5,3,12,6,8,13,4,7,9,6,7,8,12,5,3,4,7,2,0,0,20,19,3,155,93,62,14,14,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyumas,Kec. Purwokerto Selatan,SLB C DAN C1 YAKUT PURWOKERTO,17,15,15,15,10,0,14,1,2,14,10,8,1,1,9,1,7,6,15,4,5,2,11,4,10,8,18,6,9,9,12,10,14,4,11,8,9,5,0,0,41,18,2,197,130,67,16,16,1,1,0,0,1,1,1,1,1,1,0,0,1,1,10,10,1,1,0,0,0,0,1,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Banyumas,Kec. Purwokerto Timur,SLB B YAKUT PURWOKERTO,13,10,0,0,0,0,1,1,2,0,5,10,1,2,6,6,4,6,2,6,4,2,3,11,3,8,5,6,2,4,1,3,3,5,4,3,2,3,0,0,17,15,3,111,43,68,11,11,0,0,1,1,0,0,0,0,1,1,1,1,1,1,5,5,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Batang,Kec. Batang,SLB NEGERI BATANG,24,16,0,0,0,0,0,0,0,0,8,15,6,2,11,6,15,12,17,13,7,3,11,7,5,8,21,14,16,13,12,6,10,4,3,2,8,4,0,0,50,23,8,228,136,92,16,16,1,1,1,1,1,1,1,1,1,1,1,1,0,1,6,4,1,3,1,0,0,0,1,1,0,0,0,0,14,13,,,,,,,,,,,,,,,,,,
Kab. Blora,Kec. Cepu,SLB BC Muhammadiyah Cepu,12,8,1,0,0,0,0,0,2,0,2,11,1,1,1,1,3,3,3,1,5,1,1,2,3,1,7,8,6,7,3,1,7,3,1,5,3,8,0,0,32,13,2,84,43,41,6,5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,4,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Blora,Kec. Jepon,SLB BUDI MULYO,12,8,0,0,0,0,0,1,3,0,3,5,2,1,2,1,0,1,0,2,2,3,0,1,10,4,6,0,3,6,0,3,1,0,1,1,3,2,0,0,26,8,3,52,28,24,7,7,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
