kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Lampung Selatan,Kec. Candipuro,SLB IT HARAPAN BANGSA,12,6,0,1,1,0,1,1,1,0,0,1,1,3,2,1,2,2,1,0,3,2,4,1,0,2,4,1,1,1,1,1,0,1,1,0,0,0,0,0,13,1,4,34,21,13,12,12,1,1,1,1,0,0,1,1,1,1,1,1,0,0,4,2,0,0,0,0,0,0,1,1,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Lampung Selatan,Kec. Jati Agung,SLB PELITA BUNGA,7,3,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,1,0,1,0,3,2,6,2,4,1,3,1,0,0,0,0,0,0,0,0,3,2,3,25,19,6,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Lampung Selatan,Kec. Sidomulyo,SLB NEGERI SIDOMULYO,28,21,0,0,0,0,0,1,3,0,6,18,7,6,4,6,5,4,6,6,6,1,5,6,7,7,3,2,8,1,7,5,6,3,13,2,4,3,0,0,15,24,13,120,74,46,15,15,1,1,0,0,0,0,1,1,1,1,1,1,1,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,15,15,,,,,,,,,,,,,,,,,,
Kab. Lampung Selatan,Kec. Tanjung Sari,SLB KASIH BUNDA,9,9,0,0,0,0,0,0,1,0,4,5,3,0,4,5,2,2,9,1,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,9,3,33,23,10,5,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,2,2,1,1,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Lampung Tengah,Kec. Bandar Surabaya,SLB SRIKANDI BANDAR SURABAYA,9,8,1,1,0,0,0,0,0,0,4,3,2,0,0,0,0,0,3,1,0,0,4,0,1,2,2,0,0,0,1,0,2,0,2,3,0,1,0,0,23,7,2,22,15,7,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Lampung Tengah,Kec. Kota Gajah,SLB NEGERI KOTA GAJAH,24,22,0,0,1,0,0,1,2,0,6,22,4,2,5,4,3,4,2,6,5,4,6,6,5,6,12,6,6,5,8,5,2,5,3,7,4,2,0,0,25,28,6,121,61,60,22,22,1,1,1,1,0,0,1,1,1,1,1,1,1,1,10,7,3,1,0,0,0,0,1,1,0,0,0,0,17,13,,,,,,,,,,,,,,,,,,
Kab. Lampung Tengah,Kec. Terbanggi Besar,SLB KURNIA PONCOWATI,21,8,0,0,0,0,0,0,0,0,1,7,3,2,0,2,3,2,1,2,3,1,1,3,7,5,3,4,1,3,1,0,0,1,2,0,2,0,0,0,12,8,5,47,24,23,9,9,1,1,0,0,0,0,1,1,1,1,0,0,1,1,3,4,1,1,0,0,0,0,1,1,0,0,0,0,10,11,,,,,,,,,,,,,,,,,,
Kab. Lampung Timur,Kec. Purbolinggo,SLB NEGERI LAMPUNG TIMUR,25,16,0,1,0,0,0,2,2,0,7,17,5,4,3,3,7,3,3,7,7,5,7,5,7,3,9,5,12,4,6,4,4,7,6,7,3,7,0,0,27,24,9,134,74,60,23,20,2,1,0,1,2,2,2,1,1,1,1,1,1,1,20,6,8,3,0,0,0,0,1,1,0,0,0,0,26,25,,,,,,,,,,,,,,,,,,
Kab. Lampung Utara,Kec. Abung Semuli,SLBN SUKAMAJU LAMPUNG UTARA,25,7,1,1,1,0,0,1,2,0,4,11,1,4,3,2,2,1,4,4,5,4,7,3,7,3,6,1,5,2,12,9,3,4,6,6,4,4,0,0,59,15,5,107,64,43,13,13,1,1,0,0,0,0,2,2,1,1,1,1,0,0,7,7,4,4,0,0,0,0,1,1,0,0,0,0,15,14,,,,,,,,,,,,,,,,,,
Kab. Mesuji,Kec. Tanjung Raya,SLB Negeri Mesuji,17,9,0,0,0,0,0,1,2,0,3,10,8,1,3,0,2,1,5,1,7,6,4,7,1,5,7,5,1,2,3,0,2,1,1,2,0,1,0,0,15,13,9,67,36,31,14,14,1,1,2,0,0,0,1,1,1,1,1,1,0,0,9,4,1,0,0,0,1,0,1,1,0,0,0,0,10,4,,,,,,,,,,,,,,,,,,
Kab. Pesawaran,Kec. Gedung Tataan,SLB SINAR HAFIZAH,11,5,0,0,0,0,0,0,0,0,2,3,1,3,4,1,3,1,6,1,2,1,1,3,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,17,5,4,30,18,12,8,6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Pesisir Barat,KEC. PESISIR SELATAN,SLB NEGERI PESISIR BARAT,25,11,0,1,1,0,0,1,1,1,5,9,4,1,4,0,4,1,4,3,2,2,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,53,14,5,28,17,11,8,8,1,0,1,1,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Pringsewu,Kec. Pagelaran,SLB PUTRA BAKTI,12,6,0,0,1,0,0,0,2,0,3,3,2,1,4,1,4,6,5,2,0,0,0,3,1,4,3,1,9,0,3,0,0,0,0,0,0,0,0,0,14,6,3,47,30,17,3,3,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
