kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Lebak,Kec. Banjarsari,SKh DARU SIFA,20,7,1,0,1,0,0,0,2,0,0,5,2,3,6,2,0,0,7,5,3,0,7,3,5,2,3,6,5,5,4,1,1,0,1,0,0,0,0,0,5,5,5,66,42,24,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Cibeber,SKH ADI SETIA CIKOTOK,12,6,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,3,1,3,1,0,1,0,0,2,3,0,1,3,3,3,0,2,3,0,1,0,0,17,5,2,30,16,14,8,8,1,1,0,0,0,0,2,2,1,1,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Maja,SKH KEKERABATAN,21,6,0,0,0,0,0,0,0,0,1,4,2,3,6,0,4,0,0,0,4,5,1,1,2,1,6,2,2,1,0,1,2,1,1,0,3,4,0,0,4,5,5,47,31,16,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Maja,SKH SARONGGE,10,4,0,0,0,0,0,0,0,0,1,3,3,3,0,3,0,0,3,0,1,1,4,1,2,0,0,0,2,5,3,2,4,2,2,1,7,4,0,0,15,4,6,47,28,19,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Malingping,SKH ARRAFAT,11,3,1,1,1,0,1,1,1,1,1,1,1,2,0,0,0,0,1,0,3,1,0,1,0,0,0,1,0,2,0,1,1,0,0,0,1,0,0,0,20,2,3,12,6,6,4,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Malingping,SKhN 03 Lebak,27,19,0,0,1,0,0,8,5,5,6,15,9,2,5,2,3,2,4,1,6,1,1,0,6,3,3,1,2,1,8,4,2,2,7,2,2,1,0,0,52,21,11,69,49,20,13,13,1,1,0,0,0,0,1,1,1,1,1,1,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,17,17,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Panggarangan,SKH PURNAMA PANGGARANGAN,12,2,0,0,0,0,0,2,1,0,1,2,2,2,2,0,0,0,1,0,1,1,3,2,0,0,0,1,2,1,1,1,0,0,5,2,3,2,0,0,5,3,4,28,18,10,6,6,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Rangkasbitung,SKH PADESAN,25,7,0,0,0,0,0,0,0,0,3,4,3,0,1,0,0,2,5,1,0,1,3,0,2,3,2,0,4,1,5,2,2,2,2,2,1,1,0,0,9,7,3,42,27,15,9,9,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Rangkasbitung,SKH PGRI RANGKASBITUNG,18,4,0,0,2,0,1,1,2,0,2,3,3,2,2,0,3,0,1,2,1,0,1,0,5,3,3,1,4,2,6,2,3,3,1,2,1,4,0,0,8,5,5,50,31,19,5,5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Rangkasbitung,SKhN 01 Lebak,44,26,0,0,0,0,0,2,5,0,11,17,14,6,11,7,13,3,8,6,7,5,6,2,12,6,11,6,6,2,10,7,2,4,2,3,5,2,0,0,21,28,20,146,93,53,13,13,1,1,0,0,0,0,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Rangkasbitung,SKhN 02 LEBAK,53,23,0,2,1,0,0,2,3,0,5,25,11,9,7,4,13,5,5,2,5,2,10,7,6,13,15,11,7,4,7,4,10,4,7,4,7,4,0,0,9,30,20,173,105,68,15,15,1,1,1,1,0,0,1,1,1,1,1,1,1,1,12,12,1,1,0,0,1,1,1,1,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Lebak,Kec. Wanasalam,SKH HARAPAN MULYA,14,6,1,2,1,0,2,1,1,0,0,3,2,2,0,1,1,0,3,1,0,1,0,1,1,1,3,0,0,2,1,0,1,2,1,0,1,2,0,0,17,3,4,23,12,11,7,7,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Angsana,SKh RISMURI JAYA ABADI,4,3,0,0,0,0,0,0,0,0,1,1,1,3,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,14,12,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Bojong,SKH ATH-THOHARIYYAH 2,13,7,0,1,0,0,1,0,3,0,0,6,1,2,0,0,1,1,6,2,2,1,2,1,1,0,1,1,2,1,4,0,0,0,0,0,0,2,0,0,7,6,3,28,19,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Cadasari,Skh Sofiana Arrauf,12,7,0,0,0,0,0,0,1,0,2,3,3,5,3,0,0,0,2,3,2,3,5,7,0,0,0,2,0,0,1,1,3,3,2,2,0,0,0,0,15,5,8,48,21,27,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Carita,SKH GYTHA KYARA 02,16,6,0,0,0,0,0,0,0,0,0,6,2,2,0,0,3,2,0,0,2,2,5,2,1,0,2,0,6,1,0,1,1,1,3,3,1,0,0,0,7,6,4,36,24,12,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Cikedal,SKH AL-KARIM,20,4,0,0,0,0,0,0,2,0,2,4,2,1,1,1,0,1,2,2,0,0,0,1,2,2,3,3,1,0,1,0,1,4,2,1,2,6,0,0,13,6,3,36,15,21,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Cikeusik,Sekolah Khusus Kartika,9,6,0,0,0,0,0,0,0,0,3,3,3,0,0,1,10,5,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,24,15,9,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Cimanuk,SKH FARKHAN AS SALMAN,11,4,0,0,0,0,0,0,2,0,0,3,3,4,3,3,1,1,0,3,1,1,5,0,4,1,5,3,2,1,3,0,5,1,3,1,0,0,0,0,41,3,7,47,32,15,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Jiput,SKH JIPUT MANDIRI,19,5,1,1,0,0,0,0,4,0,1,3,0,4,0,0,2,0,1,0,4,1,4,1,1,2,1,1,2,2,1,3,1,0,5,1,1,2,0,0,9,4,4,36,23,13,3,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Karang Tanjung,Skh Jannatul Aulad,13,11,0,0,0,0,0,0,0,0,0,10,2,3,1,0,0,0,8,2,8,5,1,0,5,4,6,7,1,1,1,0,0,0,0,0,0,0,0,0,10,10,5,50,31,19,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Labuan,SKh Alghisafa Labuan,20,7,0,0,0,0,0,0,2,0,0,8,4,2,0,0,4,2,5,3,6,9,2,2,5,4,0,1,0,1,1,1,0,2,2,0,0,0,0,0,7,8,6,52,26,26,5,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Labuan,SKH BAHARI,23,7,0,0,0,0,0,0,0,0,1,5,1,4,2,1,1,2,2,1,2,5,5,0,4,0,7,2,1,2,2,0,2,1,4,1,0,2,0,0,9,6,5,49,32,17,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Majasari,SKhN 01 Pandeglang,85,56,0,0,0,0,0,1,2,2,28,32,18,5,8,3,4,9,14,3,5,5,6,10,8,4,8,3,6,3,12,6,3,3,3,6,11,6,0,0,34,60,23,149,88,61,14,14,3,3,0,0,0,0,1,1,2,2,1,1,0,0,15,15,0,0,0,0,1,1,1,1,1,1,0,0,53,53,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Mandalawangi,SKH GALUH KINANTI,9,5,0,0,0,0,0,1,0,1,0,4,3,2,0,0,0,1,2,0,0,2,1,5,3,1,0,2,4,2,2,2,3,4,0,0,0,0,0,0,5,4,5,34,15,19,11,11,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Mekarjaya,SKh Insan Maulana Assyakim,5,4,0,1,0,0,0,0,0,0,1,2,1,4,3,1,1,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,3,5,13,10,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Menes,SKH MATHLA`UL ANWAR,34,12,0,1,0,0,1,1,0,0,4,6,3,0,0,1,2,0,2,2,1,2,3,3,5,4,4,2,3,4,4,3,0,2,5,2,2,0,0,0,6,10,3,58,32,26,15,15,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Pandeglang,Kec. Munjul,SKh Arisma,20,4,0,0,0,0,0,0,0,0,3,2,4,0,3,2,0,1,3,0,8,4,7,1,8,2,1,7,0,0,0,1,2,0,3,2,2,1,0,0,21,5,4,58,37,21,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
