kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kota Adm. Jakarta Barat,Kec. Cengkareng,SLB B-C ALFIANY,15,9,0,0,0,0,0,0,0,0,0,10,1,1,4,1,4,4,4,5,3,4,5,0,3,2,8,5,4,5,7,1,4,3,1,2,3,0,0,0,13,10,2,82,50,32,16,16,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Cengkareng,SLB CAHAYA BINTANG,9,7,0,0,0,0,0,0,0,0,4,3,1,3,0,0,2,2,2,0,1,0,1,1,3,0,0,0,1,1,3,1,1,0,1,1,0,0,0,0,13,7,4,21,15,6,6,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Grogol Petamburan,SLB DHARMA ASIH,5,5,0,0,0,0,0,0,0,0,1,4,2,0,2,1,2,1,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,2,14,8,6,8,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kali Deres,SLB B KUNTUM MEKAR 01,8,6,0,0,0,0,0,0,0,0,1,4,1,3,1,2,1,2,2,2,1,1,0,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,6,5,4,19,9,10,8,8,1,1,0,0,0,0,1,1,1,1,0,0,1,1,6,6,1,1,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kali Deres,SLB BINA INSAN KAMIL,9,8,0,0,0,0,0,0,1,0,0,8,1,0,4,1,7,1,4,4,5,3,1,2,5,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,19,8,1,45,33,12,9,9,1,1,0,0,0,0,1,1,1,1,1,1,0,0,3,3,1,1,0,0,1,1,1,1,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kali Deres,SLB C KUNTUM MEKAR 02,11,6,0,0,0,0,0,0,0,0,4,4,0,3,2,0,1,1,1,0,1,0,2,1,3,1,6,3,2,0,0,0,2,1,1,0,1,0,0,0,10,8,3,29,22,7,12,12,1,1,0,0,0,0,1,1,1,1,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kali Deres,SLB NEGERI 10,39,39,38,39,3,0,38,6,5,0,15,31,10,1,7,3,4,6,5,0,7,8,15,13,33,19,8,7,11,6,9,7,9,4,14,7,8,9,0,0,16,46,11,219,130,89,39,39,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1,0,0,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kebon Jeruk,SDLB C TRI ASIH II,7,7,0,1,0,0,0,0,1,0,1,7,5,3,2,1,1,1,4,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,18,12,6,7,7,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,2,2,0,0,5,5,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kebon Jeruk,SLB BC INSAN HARAPAN,7,6,0,0,0,0,0,0,0,0,1,5,2,0,2,2,4,5,2,4,0,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,27,14,13,7,7,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kebon Jeruk,SLB C AUTISMA TALITAKUM,12,8,0,0,0,0,0,0,0,0,5,4,4,2,2,1,5,1,11,0,4,0,2,1,3,1,1,0,1,1,3,0,0,0,3,0,0,1,0,0,7,9,6,41,35,6,6,6,1,1,1,1,0,0,1,1,1,1,0,0,1,1,6,6,2,2,0,0,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kebon Jeruk,SLB C DIAN KUSUMA,8,5,0,0,0,0,0,0,0,0,0,4,1,2,3,0,3,0,0,1,1,0,0,0,0,1,0,2,3,1,2,1,0,0,0,0,0,0,0,0,6,4,3,18,12,6,13,13,1,1,0,0,0,0,1,1,1,1,1,1,0,0,3,3,1,1,0,0,1,1,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kebon Jeruk,SLB miracle school SPECIAL NEEDS EDUCATION,8,7,0,1,0,0,1,0,1,0,3,5,0,3,16,7,15,3,11,5,14,5,8,4,5,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,17,8,3,102,76,26,13,13,1,1,0,0,0,0,1,1,1,1,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kebon Jeruk,SMKLB C TRI ASIH,5,5,0,1,1,0,0,1,1,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,3,4,2,0,0,6,7,2,20,13,7,5,5,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,1,1,0,0,1,1,1,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kebon Jeruk,SMPLB C TRI ASIH,4,4,0,0,1,0,0,1,2,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,2,0,0,0,0,0,0,0,0,4,7,1,14,7,7,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,4,4,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kembangan,SLB B PANGUDI LUHUR,53,34,1,3,0,0,1,1,4,4,11,36,7,2,7,10,13,9,11,9,12,6,10,14,8,8,14,5,10,10,13,4,7,8,11,5,9,9,0,0,31,47,9,257,143,114,76,76,2,2,3,3,1,1,6,6,1,1,0,0,1,1,4,4,3,3,0,0,1,1,1,1,3,3,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Kembangan,SLB Negeri 6 Jakarta,32,32,0,0,1,0,0,2,4,2,16,25,4,2,5,5,7,3,10,5,5,5,7,3,7,6,6,5,7,8,6,7,4,8,8,7,8,5,0,0,27,41,6,147,80,67,58,58,1,1,0,0,0,0,1,1,1,1,0,0,2,2,5,5,2,2,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Palmerah,SLB NEGERI 5 JAKARTA,34,34,0,0,0,0,0,2,2,0,13,26,5,2,5,5,4,8,6,7,7,8,14,7,13,13,20,8,5,6,3,7,10,7,6,3,13,10,0,0,18,39,7,195,106,89,38,38,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Palmerah,SLB TALENTA,5,5,0,0,0,0,0,0,0,1,5,1,0,2,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41,6,2,6,5,1,9,9,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Taman Sari,SLB MALIKA CENTER,11,5,0,0,0,0,0,0,0,0,2,3,1,1,2,0,4,2,0,1,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,5,2,15,12,3,5,5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Tambora,SDLB C1 TRI ASIH I,6,6,0,0,0,0,0,0,3,0,2,6,4,1,3,2,2,1,2,1,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,22,15,7,10,10,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,4,1,1,0,0,1,1,1,1,1,1,0,0,4,4,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Barat,Kec. Tambora,SLB B-C KASIH BUNDA,12,10,0,0,0,0,0,0,0,0,7,3,0,2,5,0,9,2,3,3,4,1,1,1,5,4,12,4,6,3,2,1,8,4,3,3,3,1,0,0,16,10,2,88,61,27,13,13,1,1,1,1,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Pusat,Kec. Cempaka Putih,SLB C CEMPAKA PUTIH,9,9,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,7,3,0,0,8,5,8,4,5,3,9,7,4,2,0,0,0,0,0,0,0,0,4,9,1,65,41,24,21,21,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Pusat,Kec. Cempaka Putih,SLB SARASWATI LEARNING CENTER,11,11,0,0,0,0,0,0,0,0,2,29,3,2,6,1,1,0,1,3,2,1,3,3,2,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,4,31,5,33,18,15,9,9,1,1,1,1,0,0,1,1,1,1,0,0,0,0,6,6,2,2,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Pusat,Kec. Kemayoran,SLB B-C MAKNA BAKTI,8,7,0,0,0,0,0,0,2,0,3,5,2,2,5,1,0,0,9,1,0,0,1,2,6,2,5,3,1,3,3,1,0,0,0,0,0,0,0,0,4,8,4,43,30,13,18,18,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,4,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Adm. Jakarta Pusat,Kec. Kemayoran,SLB BC HARAPAN IBU,21,8,0,0,0,0,0,1,0,0,2,7,2,2,3,5,4,5,2,4,1,1,3,6,0,1,1,1,0,1,3,4,0,0,0,0,0,0,0,0,5,9,4,45,17,28,11,11,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
