kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bengkayang,Kec. Bengkayang,SLB NEGERI ADIL KA TALINO,11,10,10,10,2,0,1,1,4,8,4,6,1,1,4,0,6,1,8,3,1,2,4,2,7,3,7,6,6,4,4,8,0,1,0,0,0,1,0,0,18,10,2,78,47,31,6,6,2,2,0,0,0,0,1,1,1,1,0,0,0,0,7,7,1,1,0,0,0,0,1,1,1,1,0,0,4,4,,,,,,,,,,,,,,,,,,
Kab. Bengkayang,Kec. Jagoi Babang,SLBN NUSAK JAGOI BABANG,8,5,2,1,2,0,2,2,3,2,2,5,1,0,2,0,5,2,2,2,2,2,8,4,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,14,7,1,36,22,14,7,7,1,1,0,0,0,0,1,1,1,1,1,1,1,1,5,5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Kab. Kapuas Hulu,Kec. Putussibau Selatan,SLB N 25 KEDAMIN HILIR,12,4,0,0,0,0,0,1,0,0,0,4,1,2,0,2,3,4,1,1,3,1,3,1,4,1,5,1,6,3,7,3,8,0,4,1,4,6,0,0,17,4,3,72,48,24,11,11,0,0,1,1,0,0,1,1,1,1,0,0,1,1,4,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kayong Utara,Kec. Sukadana,SLB SUKADANA,10,6,0,0,1,0,1,0,1,0,3,6,1,1,3,1,3,3,2,3,0,3,0,1,1,2,2,0,1,2,0,2,5,0,0,0,0,0,0,0,25,9,2,34,17,17,7,7,0,0,0,0,0,0,1,1,1,1,0,0,1,1,6,6,0,0,0,0,0,0,1,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Ketapang,Kec. Delta Pawan,SLB N KETAPANG,23,4,2,1,0,0,0,2,3,1,3,7,1,5,16,4,7,2,6,3,6,3,1,2,2,4,10,4,8,3,4,3,1,3,2,5,3,2,0,0,28,10,6,104,66,38,43,43,1,1,1,1,0,0,1,1,0,0,0,0,1,1,12,12,0,0,0,0,0,0,1,1,2,2,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Ketapang,Kec. Matan Hilir Selatan,SLB BINA GENERASI TERPADU,8,5,0,0,0,0,0,0,0,0,0,2,3,2,1,2,0,0,1,2,2,0,1,0,2,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,5,2,5,18,9,9,4,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kubu Raya,Kec. Rasau Jaya,SLBN RASAU JAYA,23,15,1,0,0,0,0,0,2,0,6,13,2,3,3,5,2,4,4,3,0,0,10,5,7,8,3,3,0,0,4,4,4,4,4,2,4,6,0,0,53,19,5,89,45,44,23,23,1,1,1,1,0,0,1,1,1,1,1,1,1,1,7,7,2,2,0,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
Kab. Kubu Raya,Kec. Sungai Raya,SLB IBU BAHAGIA,8,5,0,0,0,0,1,0,0,0,1,3,1,0,1,0,5,4,1,1,1,0,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,4,1,21,15,6,8,8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Landak,Kec. Ngabang,SLB NEGERI NGABANG,13,7,1,1,1,0,2,2,6,6,7,8,1,0,5,2,5,2,7,0,5,1,1,3,2,4,5,0,0,1,4,0,2,1,2,3,4,1,0,0,25,15,1,60,42,18,12,12,1,1,0,0,0,0,1,1,1,1,0,0,1,1,6,6,0,0,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Melawi,Kec. Nanga Pinoh,SLB BHAKTI LUHUR,14,13,0,0,0,0,0,0,0,0,0,14,1,4,7,2,8,4,2,4,3,2,1,7,3,1,1,2,2,0,1,3,0,3,0,2,3,0,0,0,15,14,5,61,31,30,10,10,0,0,0,0,0,0,1,1,1,1,1,1,0,0,6,6,1,1,0,0,0,0,1,1,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
Kab. Melawi,Kec. Nanga Pinoh,SLB NEGERI NANGA PINOH,5,5,1,0,0,0,0,0,1,0,1,5,0,1,1,1,8,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,1,16,11,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Mempawah,Kec. Mempawah Hilir,SLB NEGERI MEMPAWAH,39,11,1,1,0,0,0,1,6,2,6,11,1,4,8,5,5,7,8,2,7,3,6,4,4,6,3,2,7,3,5,4,2,0,3,3,3,2,0,0,13,17,5,102,61,41,7,7,7,7,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Sambas,Kec. Sambas,SLB NEGERI SAMBAS,32,11,0,0,0,0,0,0,2,0,6,5,2,1,5,1,7,2,7,1,10,4,11,4,6,5,9,5,12,3,8,2,10,3,6,4,6,1,0,0,11,11,3,132,97,35,12,12,1,1,0,0,0,0,1,1,1,1,1,1,1,1,6,6,1,1,0,0,1,1,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Sanggau,Kec. Kapuas,SLB NEGERI 65 SANGGAU,11,9,0,0,0,0,0,0,1,0,2,9,0,0,2,3,2,2,3,0,2,3,4,2,5,5,4,1,1,1,3,1,0,1,1,0,0,0,0,0,17,11,0,46,27,19,5,5,0,0,0,0,0,0,2,2,2,2,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Sanggau,Kec. Parindu,SLB N 25 PUSAT DAMAI,11,6,0,0,0,0,0,0,0,0,3,4,0,2,11,3,3,0,4,2,2,2,3,0,2,2,1,2,4,1,0,1,3,1,3,0,0,0,0,0,20,7,2,50,36,14,11,11,1,1,0,0,0,0,1,1,1,1,0,0,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Sekadau,Kec. Sekadau Hilir,SLBN SEKADAU,12,5,1,0,0,0,1,0,0,0,1,4,2,1,2,1,6,1,1,0,1,1,4,3,3,2,4,3,2,1,3,3,4,0,3,2,3,0,0,0,17,5,3,53,36,17,7,7,1,1,1,1,0,0,1,1,1,1,0,0,1,1,8,8,1,1,0,0,0,0,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Sintang,Kec. Sintang,SLB NEGERI 25 SINTANG,25,9,2,2,1,0,1,1,3,0,3,12,0,3,8,3,11,2,8,5,8,7,6,2,11,4,8,2,6,2,1,1,6,2,2,2,1,6,0,0,26,15,3,117,77,40,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Pontianak,Kec. Pontianak Barat,SLB C KINASIH,11,5,0,0,0,0,0,0,0,0,0,5,0,1,9,3,3,2,6,4,1,2,7,3,4,2,6,0,3,2,1,1,4,2,0,0,0,1,0,0,12,5,1,66,44,22,5,5,1,1,1,1,0,0,1,1,1,1,0,0,2,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Pontianak,Kec. Pontianak Kota,SLB BINA ANAK BANGSA,15,15,0,0,0,0,0,0,0,0,5,13,4,2,24,5,11,5,25,6,8,3,14,2,11,3,12,3,9,2,9,2,6,7,4,1,5,1,0,0,12,18,6,185,144,41,14,14,1,1,0,0,0,0,1,1,1,1,1,1,1,1,7,7,3,3,8,8,0,0,1,1,1,1,0,0,3,3,,,,,,,,,,,,,,,,,,
Kota Pontianak,Kec. Pontianak Tenggara,SLB C DHARMA ASIH,16,12,0,0,0,0,0,0,0,0,0,12,2,3,8,3,6,5,2,3,7,3,3,2,5,2,2,2,7,4,10,2,2,3,2,4,2,0,0,0,12,12,5,95,60,35,20,20,1,1,0,0,0,0,1,1,1,1,1,1,1,1,6,6,1,1,0,0,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Pontianak,Kec. Pontianak Tenggara,SLB-B Dharma Asih,14,6,1,2,2,0,1,0,1,0,3,11,1,1,3,4,2,7,4,3,3,5,3,7,0,5,6,5,6,6,6,4,8,10,1,5,3,3,0,0,18,14,2,109,45,64,16,16,1,1,1,1,0,0,1,1,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
