kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Berau,Kec. Tanjung Redeb,SLB NEGERI TANJUNG REDEB,51,16,1,1,0,0,2,1,6,0,10,9,11,4,17,10,23,8,14,8,19,9,16,7,11,8,9,8,14,3,5,6,5,4,7,5,6,3,0,0,27,19,15,236,155,81,21,21,1,1,0,0,0,0,1,1,1,1,0,0,0,0,10,10,0,0,0,0,0,0,1,1,0,0,0,0,18,18,,,,,,,,,,,,,,,,,,
Kab. Kutai Barat,Kec. Barong Tongkok,SLBN Kutai Barat,12,12,0,1,1,0,1,0,0,0,3,11,1,5,9,3,8,0,7,3,9,2,6,3,13,8,8,3,9,5,6,2,4,2,3,2,4,5,0,0,38,14,6,124,86,38,12,12,1,1,1,1,0,0,1,1,0,0,0,0,1,1,8,8,2,2,0,0,0,0,1,1,1,1,0,0,10,10,,,,,,,,,,,,,,,,,,
Kab. Kutai Kartanegara,Kec. Loa Janan,SLB Harapan Insani,6,4,0,0,0,0,0,0,0,0,1,3,2,2,1,0,4,0,4,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,4,4,15,11,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Kutai Kartanegara,Kec. Loa Janan,SLB MUTMAINNAH,8,0,1,1,1,0,1,1,2,2,0,0,0,1,2,1,1,0,2,1,0,0,1,1,0,0,1,1,1,0,0,0,2,1,1,0,0,0,0,0,27,0,1,16,11,5,8,8,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Kutai Kartanegara,Kec. Muara Jawa,SLB Tunas Mandiri,12,6,0,0,0,0,0,0,0,0,1,4,1,4,3,2,3,3,1,1,4,3,2,1,1,2,2,3,5,0,3,2,0,0,2,0,2,0,0,0,6,5,5,47,29,18,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kutai Kartanegara,Kec. Tenggarong,SEKOLAH KHUSUS BINA INSAN MANDIRI TENGGARONG,17,3,0,1,2,0,0,0,3,2,1,7,1,2,2,2,3,3,1,1,1,0,2,1,2,0,3,2,1,2,0,0,6,2,6,1,0,0,0,0,55,8,3,46,31,15,14,14,1,1,1,1,0,0,2,2,1,1,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kutai Kartanegara,Kec. Tenggarong,SLB KUTAI KARTANEGARA TENGGARONG,10,3,0,0,0,0,0,0,2,0,1,3,2,4,6,0,5,1,4,0,0,1,0,0,3,1,0,0,1,0,1,0,0,1,2,1,0,1,0,0,30,4,6,28,22,6,6,6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kutai Kartanegara,Kec. Tenggarong,SLB NEGERI TENGGARONG,39,28,0,0,8,0,0,4,7,2,10,23,11,8,9,3,8,6,13,4,10,3,4,4,10,8,15,5,13,3,17,11,13,5,14,10,13,6,0,0,43,33,19,212,141,71,29,29,1,1,1,1,0,0,1,1,1,1,1,1,0,0,14,14,5,5,0,0,0,0,0,0,0,0,0,0,15,15,,,,,,,,,,,,,,,,,,
Kab. Kutai Timur,Kec. Sangatta Utara,SLB BAHASA HATI,6,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,11,2,1,9,8,1,4,4,1,1,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Kutai Timur,Kec. Sangatta Utara,SLB DAARUSSALAAM,12,5,0,0,0,0,0,0,0,0,1,4,0,3,14,3,3,1,4,0,2,1,2,2,4,0,3,2,3,1,4,0,1,1,0,0,3,1,0,0,10,5,3,55,43,12,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Kutai Timur,Kec. Sangatta Utara,SLB NEGERI KUTAI TIMUR,41,17,8,1,1,0,8,19,7,3,7,15,4,3,11,5,8,5,8,4,4,3,5,3,8,5,8,4,9,1,7,6,7,1,8,7,7,1,0,0,18,22,7,135,90,45,21,21,1,1,0,0,1,1,1,1,1,1,1,1,1,1,6,6,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Mahakam Ulu,KEC. LONG BAGUN,SLB Negeri Long Bagun,5,1,0,0,0,0,0,0,1,0,0,1,4,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,7,1,10,7,5,2,6,6,1,1,0,0,0,0,1,1,1,1,0,0,1,1,3,3,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Paser,Kec. Tanah Grogot,SLBN TANAH GROGOT,20,12,0,1,0,0,0,0,4,0,3,13,5,1,10,4,7,3,4,3,3,4,4,3,9,6,5,2,12,8,4,5,6,3,0,1,3,1,0,0,17,16,6,110,67,43,8,8,1,1,0,0,0,0,1,1,1,1,0,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Penajam Paser Utara,Kec. Penajam,SLB NEGERI PENAJAM PASER UTARA,31,8,7,7,8,0,4,1,3,3,5,14,4,0,6,6,3,5,2,2,5,3,4,5,7,6,7,5,7,0,8,3,7,5,3,1,5,4,0,0,27,19,4,109,64,45,17,17,1,1,1,1,0,0,1,1,1,1,1,1,1,1,17,17,0,0,0,0,0,0,1,1,0,0,0,0,20,20,,,,,,,,,,,,,,,,,,
Kota Balikpapan,Kec. Balikpapan Kota,SLB DHARMA KENCANA BALIKPAPAN,12,12,0,0,0,0,0,0,0,0,3,10,4,3,11,7,7,6,8,2,3,4,6,6,7,3,11,1,6,4,4,7,4,1,6,2,1,1,0,0,3,13,7,118,74,44,13,13,1,1,1,1,0,0,1,1,1,1,1,1,0,0,5,5,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kota Balikpapan,Kec. Balikpapan Selatan,Sekolah Khusus Santo Fransiskus Assisi,13,2,11,3,9,0,11,11,11,4,0,14,0,3,3,0,2,1,9,1,7,1,6,3,6,3,6,3,6,1,2,0,1,3,0,0,3,1,0,0,13,14,3,79,59,20,14,14,1,1,1,1,1,1,1,1,1,1,0,0,1,1,21,21,2,2,1,1,1,1,1,1,1,1,0,0,2,2,,,,,,,,,,,,,,,,,,
Kota Balikpapan,Kec. Balikpapan Selatan,SLB TUNAS BANGSA,12,11,1,0,0,0,0,0,0,0,0,11,2,4,5,1,5,0,7,3,5,1,4,1,14,0,7,1,7,2,10,1,3,3,4,0,2,0,0,0,21,11,6,86,73,13,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,0,1,1,1,1,0,0,4,4,,,,,,,,,,,,,,,,,,
Kota Balikpapan,Kec. Balikpapan Selatan,SLBN BALIKPAPAN,43,32,1,1,1,0,0,1,6,0,13,32,4,4,20,16,22,8,26,5,23,12,21,10,25,13,33,15,24,15,19,10,22,9,25,10,16,8,0,0,21,45,8,417,281,136,43,43,1,1,0,0,0,0,1,1,1,1,1,1,1,1,11,11,0,0,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
