kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Barito Selatan,Kec. Dusun Selatan,SKH BINA BANGSA MULIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,
Kab. Barito Selatan,Kec. Dusun Selatan,SKH NEGERI 1 BUNTOK,12,12,0,0,1,0,0,1,7,1,4,10,3,5,0,1,3,1,1,1,1,0,1,2,1,0,2,1,2,0,3,3,4,1,1,2,6,0,0,0,13,14,8,37,25,12,13.0,13,1.0,1,0.0,0,1.0,1,1.0,1,1.0,1,0.0,0,1.0,1,3.0,3,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Barito Selatan,Kec. Dusun Selatan,SKH NEGERI 2 BUNTOK,12,7,0,0,0,0,0,1,3,0,1,8,3,2,8,0,3,0,2,0,5,1,4,4,6,2,1,2,2,3,2,0,1,1,1,0,2,1,0,0,12,9,5,51,37,14,13.0,13,2.0,2,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,1.0,1,3.0,3,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,3,,,,,,,,,,,,,,,,,,
Kab. Barito Timur,Kec. Dusun Tengah,SKH NEGERI 1 AMPAH,5,2,0,0,0,0,0,0,0,0,1,1,0,0,4,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,10,6,4,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,,,,,,,,
Kab. Barito Timur,Kec. Dusun Timur,SKH NEGERI 1 TAMIANG LAYANG,14,12,0,0,0,0,0,0,3,0,1,13,4,1,7,7,7,0,6,3,9,3,3,2,3,1,2,3,6,3,3,3,1,1,4,0,0,1,0,0,25,14,5,78,51,27,13.0,13,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,1.0,1,2.0,2,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,11.0,11,,,,,,,,,,,,,,,,,,
Kab. Barito Utara,Kec. Lahei,SKH NEGERI 1 LAHEI,6,4,3,3,1,0,3,3,2,1,1,2,4,1,1,1,0,0,4,2,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,12,3,5,15,10,5,5.0,6,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,,,,,,,,,,,,,,,,,,
Kab. Barito Utara,Kec. Teweh Tengah,SKH NEGERI 1 MUARA TEWEH,25,14,1,1,1,0,0,2,3,0,2,22,2,4,2,3,3,0,6,1,4,2,3,2,2,1,4,1,4,2,6,6,5,3,3,1,4,0,0,0,10,24,6,74,51,23,26.0,27,1.0,1,0.0,0,0.0,0,0.0,0,2.0,5,1.0,1,1.0,1,12.0,12,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,0.0,0,11.0,11,,,,,,,,,,,,,,,,,,
Kab. Gunung Mas,Kec. Kurun,SKH NEGERI KUALA KURUN,7,5,0,0,0,0,0,1,1,0,2,4,3,5,3,1,0,0,0,0,4,2,0,0,1,2,2,2,0,0,2,1,3,4,0,0,3,2,0,0,5,6,8,32,18,14,7.0,7,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,0.0,1,6.0,6,1.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,6.0,10,,,,,,,,,,,,,,,,,,
Kab. Kapuas,Kec. Kapuas Murung,SKHN KAPUAS MURUNG,1,1,0,0,0,0,0,0,0,0,2,7,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,13,7,6,,1,,0,,0,,0,,0,,1,,0,,0,,1,,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,,,,,,,,
Kab. Kapuas,Kec. Selat,SKH NEGERI 1 KUALA KAPUAS,40,12,1,0,1,0,1,2,9,0,12,18,6,2,10,5,7,2,3,3,6,3,4,1,6,5,6,3,3,2,3,2,7,0,7,3,3,2,0,0,5,30,8,96,65,31,10.0,10,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,1.0,1,3.0,3,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,13.0,13,,,,,,,,,,,,,,,,,,
Kab. Kapuas,Kec. Timpah,SKHN 1 TIMPAH,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,,,,,,,,
Kab. Katingan,Kec. Katingan Hilir,SKH NEGERI 1 KASONGAN,10,10,0,1,1,0,1,1,2,0,2,13,2,3,0,0,5,0,3,0,2,1,2,1,1,0,1,1,2,2,0,2,0,0,3,1,1,1,0,0,3,15,5,29,20,9,13.0,13,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,1.0,1,3.0,3,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,0,8.0,8,,,,,,,,,,,,,,,,,,
Kab. Katingan,Kec. Katingan Hilir,SKH NEGERI 2 KASONGAN,12,12,0,0,1,0,0,1,4,0,4,10,0,3,4,2,3,2,2,1,3,0,0,1,1,0,3,2,3,1,4,1,0,2,1,1,2,0,0,0,4,14,3,39,26,13,9.0,9,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,5.0,5,8.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,,,,,,,,,,,,,,,,,,
Kab. Katingan,Kec. Katingan Hulu,SKHN 1 KATINGAN HULU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,
Kab. Katingan,Kec. Katingan Tengah,SKH NEGERI TUMBANG SAMBA,9,8,1,1,0,0,1,0,0,0,4,8,1,2,4,3,1,2,2,1,1,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,12,3,24,17,7,6.0,6,1.0,1,0.0,0,0.0,0,1.0,1,1.0,0,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,1,,,,,,,,,,,,,,,,,,
Kab. Katingan,Kec. Marikit,SKHN 1 MARIKIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,
Kab. Katingan,Kec. Sanaman Mantikei,SKH NEGERI 1 SANAMAN MANTIKEI,0,0,0,0,0,0,0,0,0,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Barat,Kec. Arut Selatan,SKH NEGERI 1 PANGKALAN BUN,24,13,2,0,0,0,0,0,3,0,2,14,2,1,10,4,3,5,8,7,4,4,2,3,4,4,5,4,6,4,3,1,8,2,5,5,6,2,0,0,6,16,3,109,64,45,16.0,16,1.0,1,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,0.0,0,7.0,7,2.0,2,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,11.0,11,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Barat,Kec. Arut Selatan,SKH NEGERI 2 PANGKALAN BUN,14,12,0,0,0,0,0,0,2,0,5,9,2,0,3,3,10,5,10,2,9,0,1,3,9,1,3,4,0,1,0,3,3,1,3,0,0,0,0,0,5,14,2,74,51,23,16.0,16,1.0,1,0.0,0,0.0,0,1.0,1,1.0,2,0.0,0,1.0,1,7.0,7,2.0,2,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,16.0,16,,,,,,,,,,,,,,,,,,
Kab. Kotawaringin Barat,Kec. Arut Selatan,SKH SWASTIKA BUNDA,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,
