kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Alor,Kec. Alor Tengah Utara,SLB NEGERI ALOR,19,7,2,1,1,0,3,3,9,0,8,17,5,7,8,6,6,2,8,1,4,5,4,4,5,3,6,5,5,2,4,1,1,3,1,4,2,2,0,0,15,25,12,92,54,38,22,22,1,1,0,0,0,0,1,1,2,2,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,18,18,,,,,,,,,,,,,,,,,,
Kab. Alor,Kec. Alor Tengah Utara,SLB NEGERI TUNA GRAHITA (C) ALOR,18,6,2,0,2,0,1,2,3,0,6,16,4,6,2,2,4,0,5,0,2,1,2,2,5,1,4,0,5,2,4,6,6,3,2,1,2,5,0,0,9,22,10,66,43,23,21,21,2,2,0,0,0,0,2,2,2,2,0,0,1,1,7,7,0,0,0,0,0,0,1,1,0,0,0,0,15,15,,,,,,,,,,,,,,,,,,
Kab. Alor,Kec. Pantar Tengah,SLB NEGERI PANTAR,12,3,2,0,1,0,0,2,4,0,6,6,5,2,1,1,1,0,0,1,1,2,1,0,3,0,1,1,3,0,2,0,1,2,3,2,0,5,0,0,4,12,7,31,17,14,15,15,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0,2,2,0,0,13,13,,,,,,,,,,,,,,,,,,
Kab. Belu,Kec. Atambua Barat,SLB BHAKTI LUHUR,12,8,0,0,0,0,0,0,1,0,0,10,0,1,2,1,3,1,2,2,1,1,1,1,4,1,1,1,4,4,2,4,0,3,1,0,0,3,0,0,4,10,1,43,21,22,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Belu,Kec. Kota Atambua,SLB NEGERI TENUBOT,25,13,2,1,2,0,0,1,4,2,5,19,7,3,7,2,7,5,6,4,9,7,7,6,3,5,7,6,9,6,7,2,6,6,8,5,1,2,0,0,15,24,10,133,77,56,19,19,1,1,1,1,0,0,1,1,1,1,0,0,1,1,8,8,0,0,0,0,0,0,1,1,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
Kab. Ende,Kec. Ende Selatan,SLB NEGERI ENDE,40,10,1,1,0,0,0,1,6,0,5,16,3,4,7,2,8,1,6,3,2,2,6,2,2,2,11,2,4,3,13,2,7,0,3,5,2,1,0,0,10,21,7,96,71,25,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
Kab. Ende,Kec. Ende Tengah,SLB NEGERI TUNA GRAHITA (C) ENDE,22,5,0,0,0,0,0,1,2,0,3,7,2,4,3,2,4,1,6,1,6,1,1,4,5,0,3,2,4,7,1,1,1,2,0,2,0,0,0,0,16,10,6,57,34,23,8,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Flores Timur,Kec. Ile Mandiri,SLB ADIMISTER DULIONAN,12,7,7,7,3,0,6,7,7,0,1,6,0,4,2,0,9,3,7,3,3,6,5,2,2,0,7,1,1,2,2,0,1,2,3,0,1,0,0,0,8,7,4,62,43,19,10,10,1,2,0,0,0,0,0,1,0,1,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Flores Timur,Kec. Larantuka,SLB NEGERI WERI,22,22,0,1,2,0,0,2,6,0,6,21,5,2,2,0,6,1,9,6,18,7,9,8,7,5,11,9,10,3,3,2,2,4,7,12,2,3,0,0,6,27,7,146,86,60,13,13,1,1,0,0,1,1,0,0,0,0,1,1,1,1,9,9,1,1,0,0,0,0,0,0,0,0,0,0,17,17,,,,,,,,,,,,,,,,,,
Kab. Kupang,Kec. Amarasi Barat,SLB NEGERI AM ROIT,9,0,0,1,1,0,0,1,3,0,1,6,7,6,3,2,10,4,4,0,9,8,2,1,1,0,4,1,1,0,3,2,0,0,0,0,0,0,0,0,12,7,13,55,37,18,7,7,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,
Kab. Kupang,Kec. Fatuleu,SLB NEGERI OELMASI,28,11,0,1,1,0,2,2,7,2,6,18,14,7,4,5,2,0,1,4,2,0,5,2,4,0,3,3,1,1,5,3,2,2,4,2,3,1,0,0,14,24,21,59,36,23,11,12,1,1,0,0,0,0,1,1,1,1,0,0,1,1,4,4,1,1,0,0,0,0,1,1,0,0,0,0,33,33,,,,,,,,,,,,,,,,,,
Kab. Kupang,Kec. Semau,SLB NEGERI NUSA BUNGTILU,7,3,1,1,0,0,0,1,3,0,6,1,6,3,0,0,0,0,1,0,0,0,2,2,0,1,2,1,2,0,1,0,0,1,0,0,0,0,0,0,8,7,9,13,8,5,6,6,2,2,0,0,0,0,1,1,1,1,1,1,1,1,8,8,1,1,0,0,0,0,1,1,1,1,1,1,10,10,,,,,,,,,,,,,,,,,,
Kab. Kupang,Kec. Taebenu,SLB BHAKTI LUHUR BAUMATA,7,5,0,0,0,0,0,0,0,0,1,2,0,2,0,0,3,1,3,2,2,1,11,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,3,2,34,21,13,7,3,1,0,0,0,0,0,1,0,1,0,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
