kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Asahan,Kec. Kisaran Timur,SLB Negeri Asahan,32,9,0,0,0,0,0,1,0,0,3,7,1,3,11,1,6,10,8,1,6,2,3,1,8,1,11,5,3,4,8,1,0,0,0,0,1,1,0,0,15,10,4,92,65,27,10,10,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Asahan,Kec. Kisaran Timur,SLB SWASTA DAARUS SALAM ASAHAN,21,6,0,0,2,0,0,0,0,0,1,8,0,2,4,0,10,2,1,1,4,7,5,0,5,5,1,2,3,4,0,0,1,1,3,6,3,6,0,0,6,9,2,74,40,34,3,3,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,5,,,,,,,,,,,,,,,,,,
Kab. Asahan,Kec. Pulo Bandring,SEKOLAH LUAR BIASA (SLB) SWASTA OSAKALI ASAHAN,25,10,0,2,0,0,0,0,0,0,1,7,0,2,2,0,1,0,4,6,4,3,1,0,0,2,4,2,9,5,5,5,5,1,15,6,1,1,0,0,4,8,2,83,52,31,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Batu Bara,Kec. Air Putih,SLB NEGERI BATUBARA,29,29,0,0,1,0,0,0,1,0,9,20,4,11,6,4,12,7,6,6,4,8,12,7,6,8,15,7,11,5,8,5,11,10,9,8,4,5,0,0,20,29,15,184,104,80,26,26,1,1,0,0,1,1,1,1,1,1,1,1,1,1,3,3,2,2,0,0,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Dairi,Kec. Sidikalang,SLB Negeri Sidikalang,9,7,1,0,0,0,0,6,5,2,0,6,1,1,4,1,5,1,3,1,0,1,1,1,1,1,2,1,1,1,2,2,0,0,0,0,0,0,0,0,9,6,2,29,19,10,11,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
Kab. Deli Serdang,Kec. Hamparan Perak,SLB SWASTA SYAFIQ,30,8,0,0,0,0,0,0,0,0,2,6,0,1,0,1,4,4,4,3,3,1,3,0,4,0,3,5,7,4,0,1,0,1,1,1,1,0,0,0,4,8,1,51,30,21,5,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Deli Serdang,Kec. Lubuk Pakam,SLB Negeri Deliserdang,20,13,0,0,0,0,1,1,4,0,2,14,0,3,6,4,2,11,7,3,5,2,15,4,2,3,4,4,10,7,11,6,0,0,2,0,1,0,0,0,2,16,3,109,65,44,8,8,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
Kab. Deli Serdang,Kec. Pancur Batu,SLB C Karya Tulus,14,14,0,0,0,0,0,1,0,0,1,13,0,1,6,1,2,1,8,1,5,2,2,1,2,2,7,5,8,10,8,7,5,10,6,5,3,4,0,0,11,14,1,111,62,49,15,15,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Deli Serdang,Kec. Pancur Batu,SLB TUNAS HARAPAN MANDIRI,21,9,0,1,0,0,0,0,0,0,1,2,1,0,6,1,8,2,10,7,4,6,8,8,9,2,11,1,11,10,3,5,4,3,6,2,0,0,0,0,9,3,1,131,84,47,10,10,1,1,0,0,0,0,0,0,1,1,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Deli Serdang,Kec. Percut Sei Tuan,SLB ABC MELATI AISYIAH DELISERDANG,29,10,0,0,0,0,0,1,7,0,1,12,0,2,13,5,27,5,10,7,11,5,6,2,11,3,3,11,6,6,5,3,7,3,2,3,1,0,0,0,10,13,2,155,102,53,12,15,1,1,0,0,0,0,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
