kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Bangkalan,Kec. Bangkalan,SLB SAMUDRA LAVENDER,13,13,0,0,0,0,0,0,0,0,1,14,2,1,0,2,10,1,7,8,9,5,3,2,4,1,7,6,4,3,9,4,1,1,2,2,3,2,0,0,7,15,3,99,61,38,8,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
Kab. Bangkalan,Kec. Kamal,SLB PGRI,11,6,0,0,0,0,0,0,0,0,0,5,0,1,2,2,1,3,1,3,0,1,1,3,1,0,3,0,2,3,0,0,0,2,4,2,1,1,0,0,9,5,1,36,16,20,7,7,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
Kab. Bangkalan,Kec. Socah,SLB NEGERI KELEYAN BANGKALAN,33,21,0,0,0,0,0,0,0,0,6,13,3,1,1,5,7,0,5,3,3,0,1,2,2,1,2,2,3,2,2,0,1,1,2,0,2,1,0,0,7,19,4,50,32,18,6,6,1,1,0,0,0,0,1,1,1,1,0,0,1,1,5,5,1,1,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
Kab. Bangkalan,Kec. Tragah,SLB SAMUDRA TERRA ATHENA,6,6,2,0,0,0,0,0,0,0,2,3,2,2,1,2,0,0,3,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,13,5,4,16,10,6,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Bangorejo,SLB PGRI BANGOREJO,13,9,0,0,0,0,0,0,1,0,3,9,1,0,5,2,3,0,2,0,4,0,6,2,1,4,4,5,3,0,6,3,3,4,4,1,4,6,0,0,10,12,1,72,45,27,13,13,1,1,0,0,0,0,2,2,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Banyuwangi,SDLB PGRI BANYUWANGI,5,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,2,1,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,12,8,4,8,8,1,1,0,0,0,0,2,2,2,2,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Banyuwangi,SLB AN MOERTY,9,4,0,0,0,0,0,0,0,0,0,3,1,4,3,1,6,1,4,1,3,1,2,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3,5,33,27,6,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Banyuwangi,SLB MATAHATI,11,9,0,0,0,0,0,0,0,0,2,6,0,2,3,1,1,1,2,0,1,0,2,0,0,2,2,0,2,2,5,0,1,0,0,0,0,0,0,0,4,8,2,27,20,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Banyuwangi,SMALB PGRI BANYUWANGI,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,2,0,5,5,0,4,4,1,1,1,1,0,0,1,1,1,1,0,0,1,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
Kab. Banyuwangi,Kec. Banyuwangi,SMPLB PGRI BANYUWANGI,3,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,3,3,0,5,4,1,3,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
